#  b0: 6.923870207117922
#  b0_err: 0.23495487768563716
#  absorbabce: 0.5430652285426116
#  absorbance_error: 0.03685223523421826
#  Model: y=b0*x
dT_max (K),E_laser (J/cm^2),E_laser err (J/cm^2)
93.01952693917559,589.7624783761495,21.033550264327456
9.146719955232413,63.731404494128206,2.391352856326523
189.01989555032463,1437.2585022738078,45.759567681029765
203.06111431945305,1601.979570045987,51.46863647466883
172.28404415216352,1274.561618830449,44.57465797212164
114.68947695862653,769.6698203267096,26.119609953809274
153.7162285802707,1113.762707066241,35.60431285395988
66.80189306158752,417.02141963480915,14.308437620747243
135.69703395216976,947.5832794650441,30.541257099186886
39.59977417720239,238.86612168298478,8.16978646866724
