x (cm),n_e (cm^{-3}),T_e (eV),J_sat (A/cm^2),V_sc (eV),J_sat_robust (A/cm^2),x error (cm),n_e error (cm^{-3}),T_e error (eV),J_sat error (A/cm^2),V_sc error (eV)
11.21796,254470155.38326374,2.8171379437657036,-2.237107792881071e-05,35.04765689442979,-0.0005243392604260888,0.43605306157035606,3670802052711.392,93988.91747272237,0.4066930336044461,7367.190612953253
11.049660000000001,0.0,0.21197147515341522,7.755288352162612e-05,4.858881851170479,-2.7273722059693437e-05,0.31642501779064663,0.0,231667.51844518833,0.725347556548083,13787.382980556624
10.91349,0.0,0.10145713343761854,1.2743772298579581e-05,4.1743677533025085,-0.00042340937632363553,0.15261754145484024,0.0,1.2682253138245383,1.2761376466065258e-05,1.4782299910025394
10.780380000000001,0.0,0.1007103205150344,1.1033700169213623e-05,4.003255019928632,-0.0006297367174901618,0.30477730644697415,0.0,1.8400201786179196,2.1139203476343805e-05,5.395257442223576
10.60443,4893478454.409451,0.10001590861194484,-0.0001829647188901905,4.341728442682399,-0.0011702490168155946,0.4646594402025406,44566816937.60786,10.059532862425462,0.002427247129785869,34.44965438648798
10.4499,10083790553.581701,0.10024451962386419,-0.0003770997182485967,1.3630729294239645,-0.0011461616686142414,0.18919757020867628,27267295224.663612,2.4695893904732906,0.0009413227136544224,6.508119571556868
10.33056,6833416135.9976225,1.0186795813983751,-0.00040648005009063175,3.0138161404582227,-0.0021804105227894678,0.25746378454132546,14790217576.243412,4.057469097827699,0.000701000937232315,7.926622724342931
10.165320000000001,12651834034.34626,1.0358544070186664,-0.0007568273184450422,3.4219021283653017,-0.002855220392076712,0.4217302417066551,16896183799.120237,2.901859646525517,0.0007426108712133886,6.764233747548625
10.03833,20338940329.407967,1.2713671416149364,-0.0013066248212198165,3.6882268670045626,-0.0035765219077906153,0.14546397632204155,19682073106.548782,2.2478656151702294,0.0009531306342598735,4.954503995483087
9.91287,24241515388.457485,0.779746889516463,-0.0013237016065383083,1.4952131567909532,-0.00396006014964341,0.2978621395307693,22270298980.65816,0.9762050865750891,0.0014432552269758622,1.4192517648185419
9.75834,13877973899.171217,2.89662638561456,-0.0012345771807842785,4.970967551427807,-0.004201814362815717,0.4092721628783995,13974895926.354326,1.9683272313279776,0.004579969251935261,4.224046342073778
9.61911,25326686530.65017,2.793154294486607,-0.0022184656281396447,5.060055172108946,-0.005998258197254518,0.16687506818184267,16573646916.165073,1.4288190258873081,0.00473887063915683,2.908230563959652
9.502830000000001,36871759852.69755,2.3296955204109073,-0.002993863598215844,3.168891162670341,-0.006961875638232376,0.26852263636949664,28685550130.6027,1.8268117486922062,0.008338080951562852,3.783392309497192
9.33453,41843210119.097855,1.2635174565625151,-0.0026821506430598115,1.02694326374022,-0.007986604887122835,0.4602780779401519,29363557397.657238,0.6071927058758964,0.005356868595797571,1.0608501008777171
9.18765,78296115480.85178,0.27112185524873295,-0.003318715407103276,-1.2879576050234187,-0.00912270429306897,0.17194587962973826,59686235208.657295,0.5501489799464765,0.005176622110625896,0.8133189643195371
9.07137,71220581190.51633,0.28597631783114813,-0.0030477443390634295,-1.2618016694283254,-0.0099364180461436,0.3287589416753725,55442455534.24659,0.4085423097485927,0.005229993559589,0.549905568839457
8.90001,102738793876.15846,0.18041180224300368,-0.004090615612939247,-3.0753398042149804,-0.011084153972908245,0.4139375572413454,63321079531.61363,0.17307399307210702,0.00924900736064488,0.17538310398989143
8.766900000000001,66796142558.49316,1.0996907052355052,-0.004077910437862753,-2.086663018145813,-0.012702418726512215,0.14377944797394632,58200518189.637215,0.6697562266882866,0.018872438841553027,1.1641285172917202
8.63991,66687299275.55069,3.5421407414686854,-0.006471681486242194,2.0325079081235846,-0.012572851586980835,0.40170908546996764,38879741033.904434,0.9941251620197527,0.03188300629506204,2.5048644621827685
8.45631,87947799594.30136,1.5068228687178051,-0.00601378348965998,-1.9911797951038355,-0.01350503349534968,0.35279428587936335,57693446190.38948,0.9317989158474071,0.024244181867321118,1.6438711982484777
8.329320000000001,92167616024.59886,1.5773051981173485,-0.006412048488505792,-2.561225511758136,-0.013433613457956291,0.17856838841280417,55048758742.96367,0.6027061134743621,0.027316385699582477,1.132781650316688
8.17785,83610842381.2862,1.8266365108500724,-0.006155951053997728,-2.909980419225397,-0.014714244787836183,0.463102018056875,58023609114.130974,0.8860434461893865,0.034658934229925414,1.689322640144616
8.02026,84212361632.33719,2.589780149439855,-0.0071450936552842695,-1.543794307656851,-0.013584201070734625,0.2114491554466515,49399126650.1152,0.8970327558483877,0.03799238278911656,1.924352803421641
7.90245,100672610022.13571,2.0903167670492793,-0.007820887813146512,-3.526652034185272,-0.014665326823783591,0.3699203416380449,55844274451.19729,0.8361085022893815,0.040808447217344314,1.6286724377228423
7.7112,81631017713.23692,2.967190941523317,-0.0073368962912454825,-2.2129194850987304,-0.015428544784884295,0.37147956738641663,51473987746.58529,1.0460543407159597,0.05007328844922658,2.347365198234111
7.58421,96368149184.69208,2.5412368643260907,-0.008111981113040751,-3.364934782181691,-0.01567239076416597,0.22071730844351573,61792219074.09544,1.1848657681909063,0.054578918882315204,2.4326727786744407
7.4358,86038897378.6003,1.8933416343556,-0.006424886702150603,-4.574901320286128,-0.01620009249644251,0.4159088337217956,70636845979.38931,0.7385063035900026,0.05334480296682284,1.801895780945343
7.310339999999999,87352557489.21521,3.8738932192249393,-0.008818160566285298,-2.0301266579111767,-0.01720790019238869,0.17673238327980398,60502012077.967636,1.5476441159171888,0.08072684971254081,3.6255884455188174
7.15887,121290864174.01854,1.2645868193580332,-0.007777103798917453,-6.835495835373223,-0.018642279188104745,0.4023773788663258,95333173992.27231,0.595418750124147,0.06368286859871568,1.1733430683298494
7.00893,120058277205.74756,3.3530507298564953,-0.011375297410226509,-2.9367082057753695,-0.020213769058327315,0.18410138789857056,76497032662.38118,1.2250038466113122,0.09137304733816509,2.7982364982068213
6.86052,175994131175.72464,0.13079096940363413,-0.006746976678540086,-6.680437230291622,-0.02111830651467022,0.3860049661582183,178579341179.7178,0.19696836121633157,0.04829877487487896,0.14296968224335327
6.71364,130457672622.3001,4.315370011124308,-0.013818240525053326,-1.8882369491042392,-0.024320608205547156,0.1980902263623566,95162706064.67055,1.5485311207314192,0.14604289564785836,3.933582893092706
6.58053,135850405571.87576,6.397676796012769,-0.01722188359004947,1.6446862634388832,-0.024657860083192373,0.3341804094187133,97884639707.13954,2.162987451227327,0.21268856082961976,5.876276852180553
6.43365,145848772826.1102,3.7943970827245233,-0.014588887271101973,-3.6096116821658755,-0.025695263574430412,0.23941038644900436,119163437550.85588,1.808627208986187,0.17282875738698067,4.105270509517682
6.3097199999999996,151525148861.8883,4.45648037551251,-0.01628319802331812,-3.1102173183006654,-0.0288182194920143,0.29299729604132313,121764539680.79236,1.6077061414716738,0.21142376734391455,4.311895506854827
6.14448,188172954197.2941,2.645448569406747,-0.01610893343692614,-6.302114942745323,-0.028470175943839385,0.2589167654866165,149750960287.52713,1.1239226710727537,0.17813854522168854,2.4964679483726333
6.00831,189077848560.89136,3.6496894526047035,-0.018591598850960515,-5.743821427506291,-0.03030296630914591,0.3086066105637506,155219787795.67407,1.616023181274456,0.24767571768971175,3.5910073726162075
5.85072,289558308097.7059,1.280103012714933,-0.018647769295167087,-9.69370850201184,-0.03480115626615651,0.25056429542486114,246421959756.7831,0.7962723614975569,0.2075129428683145,1.3136928971876323
