#Temperatures Spanned = 299.843 to 1100.940 [K]
#D  Retention = 1.5399e+20 [ D/m^2] where D = 2 x D2 + 1 x HD
Time[s]     Temp[K]     [D/m^2/s]   [HD/m^2/s]  [D2/m^2/s] 
6.0100e+02	2.9984e+02	1.4627e+14	1.1166e+14	1.7305e+13
6.0800e+02	3.0221e+02	4.8659e+13	3.3578e+13	7.5404e+12
6.1400e+02	3.0422e+02	-2.2319e+14	-2.0809e+14	-7.5506e+12
6.2100e+02	3.0658e+02	-2.7023e+14	-2.5673e+14	-6.7471e+12
6.2800e+02	3.0893e+02	-1.7126e+14	-1.7655e+14	2.6441e+12
6.3500e+02	3.1082e+02	-1.4184e+14	-1.4452e+14	1.3357e+12
6.4100e+02	3.1244e+02	-3.8000e+13	-2.5996e+13	-6.0018e+12
6.4800e+02	3.1432e+02	-7.4262e+13	-5.9285e+13	-7.4884e+12
6.5500e+02	3.1722e+02	-1.7567e+14	-1.6492e+14	-5.3742e+12
6.6100e+02	3.1984e+02	-2.5264e+14	-2.4734e+14	-2.6505e+12
6.6800e+02	3.2289e+02	-2.3546e+14	-2.4108e+14	2.8073e+12
6.7500e+02	3.2473e+02	-3.3746e+14	-3.4425e+14	3.3957e+12
6.8100e+02	3.2597e+02	-6.9649e+14	-6.8645e+14	-5.0241e+12
6.8800e+02	3.2741e+02	-9.2538e+14	-8.9893e+14	-1.3223e+13
6.9500e+02	3.2938e+02	-9.0208e+14	-8.6372e+14	-1.9179e+13
7.0100e+02	3.3135e+02	-8.5846e+14	-8.1564e+14	-2.1407e+13
7.0800e+02	3.3364e+02	-9.5029e+14	-9.1108e+14	-1.9605e+13
7.1500e+02	3.3613e+02	-1.2366e+15	-1.1923e+15	-2.2136e+13
7.2100e+02	3.3843e+02	-1.4994e+15	-1.4494e+15	-2.4957e+13
7.2800e+02	3.4111e+02	-1.6589e+15	-1.6199e+15	-1.9479e+13
7.3500e+02	3.4332e+02	-1.7806e+15	-1.7513e+15	-1.4663e+13
7.4100e+02	3.4459e+02	-1.9626e+15	-1.9314e+15	-1.5623e+13
7.4800e+02	3.4606e+02	-2.4843e+15	-2.4378e+15	-2.3246e+13
7.5500e+02	3.4785e+02	-3.4063e+15	-3.3357e+15	-3.5311e+13
7.6200e+02	3.5048e+02	-4.1318e+15	-4.0558e+15	-3.8001e+13
7.6800e+02	3.5273e+02	-4.6141e+15	-4.5371e+15	-3.8478e+13
7.7500e+02	3.5525e+02	-5.1974e+15	-5.1035e+15	-4.6915e+13
7.8200e+02	3.5713e+02	-5.8992e+15	-5.8013e+15	-4.8918e+13
7.8800e+02	3.5873e+02	-6.9285e+15	-6.8251e+15	-5.1701e+13
7.9500e+02	3.6063e+02	-8.4465e+15	-8.3059e+15	-7.0323e+13
8.0200e+02	3.6345e+02	-9.7974e+15	-9.6066e+15	-9.5423e+13
8.0900e+02	3.6627e+02	-1.0786e+16	-1.0558e+16	-1.1415e+14
8.1500e+02	3.6869e+02	-1.1859e+16	-1.1597e+16	-1.3078e+14
8.2200e+02	3.6982e+02	-1.3073e+16	-1.2777e+16	-1.4840e+14
8.2900e+02	3.7077e+02	-1.4464e+16	-1.4169e+16	-1.4765e+14
8.3500e+02	3.7159e+02	-1.6938e+16	-1.6666e+16	-1.3624e+14
8.4200e+02	3.7365e+02	-1.9901e+16	-1.9641e+16	-1.2955e+14
8.4900e+02	3.7603e+02	-2.1138e+16	-2.0937e+16	-1.0030e+14
8.5500e+02	3.7807e+02	-2.0838e+16	-2.0736e+16	-5.0626e+13
8.6200e+02	3.8048e+02	-1.9999e+16	-2.0023e+16	1.2110e+13
8.6900e+02	3.8290e+02	-1.8484e+16	-1.8642e+16	7.9239e+13
8.7600e+02	3.8532e+02	-1.5985e+16	-1.6277e+16	1.4581e+14
8.8200e+02	3.8711e+02	-1.3114e+16	-1.3526e+16	2.0616e+14
8.8900e+02	3.8900e+02	-1.0251e+16	-1.0810e+16	2.7929e+14
8.9600e+02	3.9089e+02	-7.5234e+15	-8.2724e+15	3.7453e+14
9.0200e+02	3.9282e+02	-5.1995e+15	-6.0712e+15	4.3589e+14
9.0900e+02	3.9545e+02	-3.4400e+15	-4.3156e+15	4.3781e+14
9.1600e+02	3.9809e+02	-2.0420e+15	-2.8769e+15	4.1743e+14
9.2200e+02	4.0020e+02	-1.0893e+15	-1.8961e+15	4.0340e+14
9.2900e+02	4.0230e+02	-3.5027e+14	-1.1628e+15	4.0627e+14
9.3600e+02	4.0440e+02	2.5386e+14	-5.7167e+14	4.1276e+14
9.4200e+02	4.0609e+02	4.4127e+14	-2.9265e+14	3.6696e+14
9.4900e+02	4.0754e+02	1.6373e+14	-4.1919e+14	2.9146e+14
9.5600e+02	4.0900e+02	-3.4691e+14	-8.2422e+14	2.3865e+14
9.6200e+02	4.1027e+02	-1.2557e+15	-1.6474e+15	1.9587e+14
9.6900e+02	4.1229e+02	-1.8141e+15	-2.1533e+15	1.6959e+14
9.7600e+02	4.1431e+02	-1.5811e+15	-1.8750e+15	1.4695e+14
