# SDTrimSP: VERSION 7.03    17.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (stopped-recoil E(start)>ED)  
       10000         640  ! NH NR
#     species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.10000E+00  0.42001E+02  0.15397E+02  0.37798E+02 -0.13055E+02  0.15615E+02  0.35992E+02 -0.17294E+02  0.96021E+00  0.18057E+01  0.42389E+01  0.00000E+00  0.00000E+00  0.50921E+01  0.39210E+02  0.37344E+02  0.27913E+01  0.00000E+00  0.24918E+02
            2            1  0.10000E+00  0.37921E+02  0.19161E+02  0.65887E+02 -0.65020E+01  0.16243E+02  0.65851E+02 -0.34943E+01  0.29182E+01  0.80542E+00  0.30077E+01  0.00000E+00  0.00000E+00  0.47865E+01  0.35478E+02  0.34023E+02  0.24433E+01  0.00000E+00  0.29461E+02
            2            1  0.10000E+00  0.16197E+03  0.33666E+01  0.39617E+02 -0.45188E+01  0.76069E+01  0.44836E+02 -0.56800E+01  0.38964E+01  0.60194E+01  0.20646E+01  0.00000E+00  0.00000E+00  0.88241E+01  0.15182E+03  0.14872E+03  0.10146E+02  0.11714E+03  0.28463E+02
            2            1  0.10000E+00  0.31763E+02  0.20067E+02  0.10361E+03  0.12804E+02  0.16344E+02  0.10614E+03  0.14574E+02  0.37232E+01  0.25282E+01  0.17706E+01  0.00000E+00  0.00000E+00  0.50661E+01  0.28393E+02  0.27221E+02  0.31265E+01  0.00000E+00  0.28821E+02
            2            1  0.10000E+00  0.48535E+02  0.70805E+02  0.84277E+02 -0.38820E+00  0.69705E+02  0.83098E+02 -0.15238E+01  0.82133E+00  0.97846E+00  0.83556E+00  0.00000E+00  0.00000E+00  0.15265E+01  0.48535E+02  0.47193E+02  0.00000E+00  0.47193E+02  0.52264E+01
            2            1  0.10000E+00  0.37799E+02  0.35659E+02  0.44239E+02 -0.13610E+02  0.37887E+02  0.46803E+02 -0.13744E+02  0.23258E+01  0.25642E+01  0.74819E+00  0.00000E+00  0.00000E+00  0.42630E+01  0.35588E+02  0.33287E+02  0.22111E+01  0.00000E+00  0.32448E+02
            2            1  0.10000E+00  0.37737E+02  0.13372E+02  0.59742E+02 -0.48843E+01  0.13327E+02  0.60324E+02 -0.67900E+01  0.25173E+00  0.48847E+00  0.13790E+01  0.00000E+00  0.00000E+00  0.14844E+01  0.36966E+02  0.36506E+02  0.77087E+00  0.31491E+02  0.57685E+01
            2            1  0.10000E+00  0.31339E+02  0.30415E+02  0.86022E+02  0.44684E+02  0.29306E+02  0.89273E+02  0.47696E+02  0.11085E+01  0.32507E+01  0.30124E+01  0.00000E+00  0.00000E+00  0.49357E+01  0.28882E+02  0.26851E+02  0.24573E+01  0.00000E+00  0.27132E+02
            2            1  0.10000E+00  0.41256E+02  0.31829E+02  0.80712E+02  0.50388E+02  0.31115E+02  0.79661E+02  0.53223E+02  0.86613E+00  0.10506E+01  0.28348E+01  0.00000E+00  0.00000E+00  0.32839E+01  0.38889E+02  0.37963E+02  0.23675E+01  0.00000E+00  0.14329E+02
            2            1  0.10000E+00  0.31140E+02  0.26865E+02 -0.10333E+02  0.44623E+01  0.28897E+02 -0.11882E+02  0.82225E+00  0.20321E+01  0.15640E+01  0.36400E+01  0.00000E+00  0.00000E+00  0.48410E+01  0.28908E+02  0.27690E+02  0.22321E+01  0.00000E+00  0.30488E+02
#ende
          10   number particle from SDTrimSP
