# ********************
# Shot #203783
# BD line brightness
# Wavelength range (Å): [4324, 4329] 
# ********************
time (s),Line brightness (photons/cm^2/ster/s),SX/B,Flux BD (molecules/s)
1e-06,236073304544.60107,0.33663331188310913,4149152396279.1504
0.013889888888888839,857056428324.9635,0.33667804666051426,15065364125906.414
0.02777877777777768,301149853914.74585,0.3368127246614026,5295738903489.015
0.04166766666666652,246679088819.79044,0.3369273703966,4339343654358.711
0.05555655555555536,66717782522.521515,0.3358596872283939,1169916591251.3943
0.06944544444444442,200002547962.66846,0.33196795597261786,3466467320030.694
0.08333433333333326,178390444175.0485,0.3331571686694603,3102959926344.4043
0.0972232222222221,137436312033.04614,0.3764004615419212,2700890998737.596
0.11111211111111094,-37261508305.92954,0.4797668303545688,-933353299222.8425
0.125001,428844507369.31885,0.5534316045037203,12391367174635.607
0.13888988888888884,148049569415.68152,0.5793373256208758,4478102976866.109
0.15277877777777768,50778709629.40236,0.5819398562953513,1542819716954.063
0.16666766666666652,87700143292.99365,0.5871489696143811,2688462749826.283
0.18055655555555536,94214519482.10872,0.6016169945363834,2959329685451.0586
0.19444544444444442,151268651233.26013,0.6268432162856183,4950662066502.665
0.20833433333333326,-21544598053.77176,0.6631250232407914,-745914809849.3907
0.2222232222222221,204847214562.77405,0.6994237927871659,7480418270677.458
0.23611211111111094,101949072140.11432,0.7090610274215352,3774177407403.0566
0.250001,444922455567.8714,0.6870924274436293,15960809166185.95
0.2638898888888888,109565947638.30374,0.6510143043735104,3724101832637.7734
0.27777877777777765,258922087792.71454,0.644918167916463,8718246201533.663
0.2916676666666665,215543604981.12808,0.6773055950111527,7622110188029.893
0.30555655555555533,80223341749.99222,0.713990421655393,2990532674665.4116
0.3194454444444444,533350792390.69684,0.7405851049232203,20622596053864.574
0.33333433333333323,449267012332.8333,0.748920209324513,17566914959304.307
0.34722322222222207,242750707511.57388,0.7111606918195247,9013296660734.959
0.3611121111111109,373972522180.1251,0.6514959144199085,12720576888112.674
0.375001,121399150908.5762,0.6462079787007375,4095843768131.9585
0.3888898888888888,1334529220484.4163,0.6658229042797064,46391908122119.8
0.40277877777777765,237253723748.40228,0.6430407358823554,7965388097328.463
0.4166676666666665,515272016500.06165,0.5452118246159406,14667538642438.855
0.43055655555555533,96045843535.65962,0.4688602231502385,2351134003115.5767
0.4444454444444444,41330041553.69591,0.5178075564248525,1117351054522.1936
0.45833433333333323,333283003164.0587,0.7163389444299104,12464852565591.121
0.47222322222222207,94042066773.65004,0.8530506559356089,4188441015342.184
0.4861121111111109,525067425574.6771,0.8903942014669667,24409159013645.082
0.500001,651595629625.902,0.9374511261849329,31892033771845.59
0.5138898888888889,359627130112.8516,1.0403156871353165,19533182694633.176
0.5277787777777777,365707851198.8645,1.0276300667120901,19621242442873.93
0.5416676666666665,1163136355585.35,0.9006359883330457,54693453238733.87
0.5555565555555554,320146159227.1859,0.8170454831239145,13656831367389.008
0.5694454444444442,278634400651.3251,0.784245262098771,11408854859098.889
0.5833343333333331,364716085014.0494,0.6197333738419925,11800902417220.01
0.5972232222222223,539820817350.3219,0.40081865509455183,11296735811072.83
0.6111121111111112,484245151025.71954,0.3464958139828304,8760294176453.291
0.625001,512945872432.7417,0.39142927065453686,10482871338529.834
0.6388898888888889,71169911236.36646,0.4303008130916918,1598909961714.4688
0.6527787777777777,682472506095.9994,0.4190278712074009,14930814099816.943
0.6666676666666665,217105816605.35132,0.3771648735893324,4275216527180.526
0.6805565555555554,-19302508430.923134,0.3287825691999312,-331343116747.99976
0.6944454444444442,176490722266.39813,0.3191123605996863,2940498244428.56
0.7083343333333331,431568794846.5088,0.3379972033086874,7615853111646.404
0.7222232222222223,142186588225.77896,0.363655358971162,2699628738675.47
0.7361121111111112,116385544809.04355,0.3371458213013235,2048671107324.5918
0.750001,234951581126.07886,0.30229869314844293,3708258997281.068
0.7638898888888889,632579562748.4712,0.33359611019889723,11017715458237.117
0.7777787777777777,112523755831.38834,0.4111223298431838,2415297895411.6943
0.7916676666666665,820099812303.277,0.4917342128036702,21054869581649.008
0.8055565555555554,326518458643.4952,0.5563099408521851,9483747348904.914
0.8194454444444442,356504034890.59924,0.5775347429754197,10749740546186.844
0.8333343333333331,885655484945.6173,0.5558904781631511,25704518267955.164
0.8472232222222219,1459668863418.7126,0.5295093914663295,40353706291629.97
0.8611121111111112,839260465477.8049,0.5335083832458536,23377250525758.42
0.875001,1431441271776.2217,0.5559807368324972,41551690455064.69
0.8888898888888889,2310800809929.6777,0.5819511790233033,70210890433676.64
0.9027787777777777,445037732000.16705,0.5830586165076541,13547665618130.508
0.9166676666666665,711558086395.0894,0.5637734995035601,20944521055355.797
0.9305565555555554,1137316514101.2861,0.5650776971486553,33554048604845.97
0.9444454444444442,1871244902968.5352,0.6007976355503687,58696778020565.32
0.9583343333333331,4379815232808.1704,0.6309974327029562,144290852525885.28
0.9722232222222219,6554016365541.01,0.6538456728759309,223737196977701.12
0.9861121111111112,10196926628029.93,0.8217411437968458,437481551861587.1
1.000001,13940129313855.697,1.2645480795647508,920359641484937.1
1.0138898888888888,25230661515134.664,1.7096810138441891,2252159495682978.5
1.0277787777777776,20902102142447.72,1.968400226098351,2148121240204147.2
1.0416676666666664,20714586702816.86,2.1348590199373487,2308877496112554.5
1.0555565555555553,15776847636611.83,2.290437295387459,1886661797145508.2
1.0694454444444441,23680381675940.383,2.4581471027829145,3039148940475053.0
1.083334333333333,28776325402775.72,2.5805394901459757,3877048758002631.0
1.0972232222222218,18322408919460.367,2.5745234464948235,2462832297460873.0
