# ********************
# Shot #203781
# B-I line brightness
# Wavelength range (Å): [8194, 8196] 
# ********************
time (s),Line brightness (photons/cm^2/ster/s),SX/B,Flux BI (molecules/s)
1e-06,61072098975.949936,73.5584211533393,234547421506947.38
0.02000100000000002,191764774298.5733,90.29613147170276,904051966967408.1
0.040001000000000037,205201373598.03235,116.75131737348862,1250827643514843.8
0.060001000000000054,214569551745.55237,154.95935403936585,1735966374465946.0
0.08000100000000007,-159101813738.46957,188.55188170791416,-1566251207874409.0
0.10000100000000009,-158501089025.83636,228.08879165501628,-1887520218649276.8
0.12000100000000011,85431320850.47644,267.69116443654394,1194006181825685.2
0.14000100000000013,-55245610750.48994,288.10819320533227,-831014889978609.4
0.16000100000000014,-42073198620.08236,291.56536364305487,-640467178784242.9
0.18000099999999994,-20284931876.468513,265.38750474299917,-281066730677397.06
0.20000099999999996,13954640841.96381,249.27344170051998,181614320736904.9
0.22000099999999997,-225829453468.7528,253.23309761005277,-2985770812992015.5
0.240001,46114463159.20087,251.35074740326243,605163541207817.1
0.260001,268612815831.55615,255.01746129189848,3576449235175050.0
0.280001,-12195740311.61325,262.31361539500034,-167026130095951.12
0.300001,52144544861.139465,245.05047726631082,667144409695831.4
0.32000100000000004,-42786787572.73558,232.56105992586993,-519519790880442.75
0.34000100000000005,235551672144.2665,224.184339340671,2757064207100408.5
0.36000100000000007,235285010304.94342,204.00522677550333,2506057155465185.0
0.3800010000000001,132679228480.63928,181.2036435248071,1255235695259241.0
0.4000010000000001,-9526834303.454245,171.32721890453692,-85217814953147.12
0.4200009999999999,232205697434.37775,192.90539706692292,2338690046467966.5
0.4400009999999999,83593111110.07465,261.82679286635056,1142720430916888.0
0.46000099999999994,157363428101.65054,244.89759955175202,2012073094192154.0
0.48000099999999996,119580180992.67157,235.6936720330377,1471507725349408.0
0.500001,55253223513.82304,261.14221803132375,753338435992399.8
0.520001,104381508331.568,240.82732643093667,1312455991920791.2
0.5400010000000001,82230260492.28075,207.81131726458833,892187796746547.6
0.5600010000000001,331143454793.5389,241.08889740138872,4168202441213997.0
0.5800010000000001,385863310365.27325,315.7333857426089,6360765867904667.0
0.6000010000000001,-47045548554.455475,218.99650884304495,-537911892153357.5
0.6200010000000001,412840791525.68506,189.6075243206067,4086896008658747.5
0.6400010000000002,92114530310.87973,167.18987102554232,804069376717024.2
0.6600010000000002,220298729214.64108,167.01425051273168,1920971573956653.5
0.6800010000000002,192368985400.00235,192.98553982748066,1938274315702616.2
0.7000010000000002,377578910599.1343,193.17140181426254,3808079250277139.5
0.7200010000000002,-28406270643.872154,171.90766956164447,-254955796866127.25
0.7400010000000002,216915647264.52658,156.17998718444494,1768771294213107.0
0.7600010000000003,144700860769.43826,150.6835890248013,1138393710895675.0
0.7800010000000003,-17967731311.066105,141.22954327752757,-132487289948489.86
