Peak,Peak left (ms),Peak time (ms),Peak right (ms),Peak current (A),Mean current (A),Charge (C)
1,2089.0567164976583,2196.5163966369632,2303.976076776268,1.4921263183520095,1.00593252864876,0.16624763573011303
2,2254.523660951997,2279.3763966369634,2304.2291323219297,2.0727878366050083,1.3898155960888008,0.06837762143148589
3,1996.9319470441487,2347.4963966369637,2698.0608462297787,2.871228875122681,1.1052149520393773,0.5766986575871679
4,2598.695484716646,2687.3163966369634,2775.9373085572806,1.1616587855997125,0.639699079063526,0.11338048843913442
5,2706.763016547163,2892.556396636963,3078.3497767267636,1.1976584211377888,0.7798741749850079,0.21964831522608322
6,2986.8269388995272,3100.1763966369635,3213.5258543744,1.7116483912920488,0.8487449256607608,0.1892526163381585
