#DataThief /Applications/86117_Transmission.png Wednesday 22-Feb-2023 1:14:48 PM
Wavelength (nm),Transmission (%)
491.44387727369991, 63.99406087602078
492.32824393341741, 64.43949517446176
491.89455784419158, 65.18188567186339
491.90109418314, 65.92427616926502
491.90959142377289, 66.88938381588716
491.91874229830063, 67.92873051224944
491.92723953893358, 68.89383815887157
492.37334467216135, 69.56198960653303
492.38184191279424, 70.52709725315515
492.39099278732203, 71.56644394951743
492.39949002795493, 72.53155159613956
492.40864090248266, 73.57089829250185
492.41713814311561, 74.53600593912398
492.42628901764334, 75.57535263548627
492.43478625827623, 76.54046028210838
492.44328349890911, 77.50556792873051
492.45243437343692, 78.5449146250928
492.46093161406981, 79.51002227171492
492.47008248859753, 80.5493689680772
492.47857972923043, 81.51447661469933
492.48773060375822, 82.55382331106162
492.49622784439111, 83.51893095768374
492.50537871891891, 84.55827765404602
492.51387595955179, 85.52338530066815
492.95998109277957, 86.19153674832961
492.96847833341246, 87.15664439495174
492.97762920794025, 88.19599109131403
492.98612644857315, 89.16109873793616
493.43288521569576, 89.90348923533779
493.88095125060806, 90.79435783221975
494.32640274994105, 91.38827023014105
494.76923971369462, 91.6852264291017
495.6549136412018, 92.279138827023
496.09775060495542, 92.57609502598366
496.98211726467287, 93.02152932442465
496.98930723751613, 93.83815887156643
496.99780447814901, 94.80326651818855
498.31847176267172, 94.80326651818855
499.19891661902022, 94.80326651818855
500.07870784147383, 94.72902746844841
500.95915269782233, 94.72902746844841
502.27851271455535, 94.58054936896808
503.15895757090379, 94.58054936896808
504.03874879335746, 94.50631031922791
504.9191936497059, 94.50631031922791
506.23920730033376, 94.43207126948775
507.11899852278742, 94.35783221974758
507.99944337913587, 94.35783221974758
508.87923460158953, 94.28359317000742
510.19924825221739, 94.20935412026725
511.07903947467105, 94.13511507052709
511.9594843310195, 94.13511507052709
512.83927555347316, 94.06087602078694
514.16190373968038, 94.28359317000742
515.04365586381846, 94.43207126948775
515.92540798795665, 94.58054936896808
516.80716011209483, 94.72902746844841
518.12978829830206, 94.95174461766889
519.01154042244013, 95.10022271714922
519.89394618047311, 95.32293986636971
520.77635193850619, 95.54565701559018
521.65941133043395, 95.84261321455085
522.54181708846693, 96.06533036377134
523.4248764803948, 96.362286562732
524.30662860453299, 96.51076466221232
525.18641982698659, 96.43652561247215
526.0662110494402, 96.362286562732
526.94665590578869, 96.362286562732
528.26666955641656, 96.28804751299182
529.14646077887016, 96.21380846325167
530.02625200132377, 96.13956941351151
530.90669685767227, 96.13956941351151
532.22671050830013, 96.06533036377134
533.10650173075373, 95.99109131403118
533.54999232840214, 96.362286562732
533.99609746163003, 97.03043801039347
534.87654231797842, 97.03043801039347
535.75502627264245, 96.80772086117297
536.63351022730637, 96.58500371195248
537.51199418197029, 96.362286562732
538.39047813663433, 96.13956941351151
539.26896209129825, 95.91685226429101
540.14809967985707, 95.76837416481067
541.0259300006262, 95.47141796585004
541.90506758918491, 95.32293986636971
543.22377397202308, 95.10022271714922
544.10421882837159, 95.10022271714922
544.98466368472009, 95.10022271714922
545.86576217496338, 95.17446176688938
546.74686066520667, 95.24870081662954
548.06818158362421, 95.32293986636971
548.9492800738675, 95.39717891610987
549.829724930216, 95.39717891610987
550.71082342045929, 95.47141796585004
552.03214433887683, 95.54565701559018
552.91324282912024, 95.61989606533037
553.79238041767894, 95.47141796585004
554.22868104248414, 95.02598366740905
555.10585772935838, 94.65478841870824
555.54215835416369, 94.20935412026725
556.41933504103793, 93.83815887156643
557.29520446012248, 93.31848552338529
557.73281235271736, 93.02152932442465
558.17695658426067, 93.46696362286562
558.62371535138334, 94.20935412026725
559.07178138629558, 95.10022271714922
559.07701045745432, 95.69413511507052
559.5231155906821, 96.362286562732
559.96856709001509, 96.9561989606533
560.84705104467901, 96.73348181143281
561.28465893727389, 96.43652561247215
562.16248925804302, 96.13956941351151
563.03966594491726, 95.76837416481067
563.9168426317915, 95.39717891610987
564.35379689049159, 95.02598366740905
565.23162721126073, 94.72902746844841
566.10880389813497, 94.35783221974758
566.9859805850092, 93.98663697104676
567.86642544135771, 93.98663697104676
568.74687029770621, 93.98663697104676
569.6279687879495, 94.06087602078694
570.94994334026183, 94.20935412026725
571.83038819661033, 94.20935412026725
572.71148668685362, 94.28359317000742
573.59258517709691, 94.35783221974758
574.47041549786604, 94.06087602078694
574.90606248877646, 93.54120267260579
575.34105584579197, 92.94729027468448
575.77604920280749, 92.35337787676317
576.2103889259281, 91.6852264291017
576.64538228294373, 91.0913140311804
577.52190533592307, 90.64587973273942
577.95755232683348, 90.12620638455827
578.39254568384899, 89.53229398663697
578.82753904086451, 88.93838158871566
579.26187876398524, 88.27023014105418
579.69687212100075, 87.67631774313288
580.57208790619052, 87.08240534521158
581.00773489710082, 86.56273199703043
581.44403552190602, 86.11729769858945
581.88817975344931, 86.56273199703043
581.89406245850284, 87.2308834446919
582.34016759173062, 87.89903489235337
582.34866483236351, 88.8641425389755
582.7947699655914, 89.53229398663697
583.24022146492428, 90.12620638455827
583.24937233945207, 91.16555308092056
583.69482383878494, 91.75946547884186
584.14158260590762, 92.5018559762435
584.14942621264572, 93.39272457312546
584.5948777119786, 93.98663697104676
585.4753225683271, 93.98663697104676
586.35380652299114, 93.76391982182628
587.23229047765506, 93.54120267260579
588.11012079842419, 93.24424647364513
588.9892583869829, 93.09576837416481
589.86708870775203, 92.79881217520415
590.75080173357469, 93.17000742390496
591.63386112550256, 93.46696362286562
592.51822778522001, 93.91239792130661
592.96041111507884, 94.13511507052709
