#DataThief C:\Users\erick\OneDrive\Documents\ucsd\Postdoc\research\thermal camera\BFS-U3-16S2M_QE.png Wednesday 22-Feb-2023 12:12:16 PM
Wavelength (nm),Quantum efficiency (%)
877.901, 13.234
878.285, 13.169
878.67, 13.169
879.055, 13.039
879.44, 12.974
879.823, 12.908
880.209, 12.908
880.593, 12.908
880.979, 12.843
881.363, 12.778
881.748, 12.778
882.133, 12.778
882.518, 12.778
882.902, 12.712
883.287, 12.712
883.672, 12.647
884.057, 12.647
884.442, 12.647
884.826, 12.581
885.211, 12.581
885.596, 12.581
885.98, 12.517
886.365, 12.451
886.75, 12.451
887.135, 12.451
887.52, 12.386
887.904, 12.386
888.289, 12.386
888.674, 12.321
889.059, 12.255
889.443, 12.255
889.827, 12.19
890.213, 12.19
890.597, 12.19
890.982, 12.125
891.367, 12.06
891.752, 12.06
892.137, 11.994
892.521, 11.994
892.906, 11.929
893.291, 11.929
893.676, 11.863
894.06, 11.799
894.445, 11.733
894.83, 11.733
895.215, 11.733
895.599, 11.668
895.984, 11.603
896.369, 11.537
896.754, 11.537
897.138, 11.537
897.523, 11.472
897.908, 11.407
898.293, 11.407
898.677, 11.407
899.062, 11.342
899.447, 11.276
899.831, 11.211
900.216, 11.211
900.601, 11.146
900.986, 11.08
901.371, 11.08
901.755, 11.015
902.14, 11.015
902.525, 10.95
902.91, 10.885
903.294, 10.885
903.679, 10.754
904.064, 10.689
904.449, 10.689
904.833, 10.689
905.218, 10.623
905.603, 10.558
905.988, 10.492
906.371, 10.492
906.757, 10.427
907.142, 10.362
907.527, 10.362
907.912, 10.362
908.296, 10.297
908.681, 10.166
909.066, 10.166
909.451, 10.166
909.835, 10.101
910.22, 10.036
910.605, 9.97
910.99, 9.97
911.374, 9.97
911.759, 9.839
912.144, 9.839
912.529, 9.775
912.913, 9.775
913.298, 9.775
913.683, 9.644
914.068, 9.644
914.452, 9.644
914.837, 9.644
915.222, 9.579
915.607, 9.513
915.991, 9.448
916.376, 9.448
916.761, 9.448
917.146, 9.383
917.53, 9.318
917.915, 9.318
918.3, 9.252
918.685, 9.252
919.069, 9.121
919.454, 9.121
919.839, 9.121
920.224, 8.991
920.608, 8.926
920.992, 8.926
921.378, 8.861
921.763, 8.795
922.147, 8.665
922.532, 8.665
922.917, 8.599
923.302, 8.534
923.686, 8.468
924.071, 8.404
924.456, 8.404
924.841, 8.404
925.225, 8.273
925.609, 8.208
925.995, 8.208
926.38, 8.142
926.764, 8.077
927.149, 8.077
927.534, 7.947
927.919, 7.881
928.303, 7.751
928.688, 7.751
929.073, 7.685
929.458, 7.62
929.842, 7.62
930.227, 7.555
930.612, 7.555
930.996, 7.49
931.382, 7.359
931.766, 7.359
932.151, 7.359
932.536, 7.228
932.921, 7.163
933.305, 7.163
933.69, 7.098
934.075, 7.033
934.46, 6.967
934.843, 6.902
935.229, 6.837
935.613, 6.837
935.999, 6.771
936.383, 6.706
936.768, 6.641
937.153, 6.641
937.538, 6.51
937.922, 6.51
938.307, 6.51
938.692, 6.38
939.077, 6.314
939.461, 6.314
939.846, 6.314
940.231, 6.249
940.616, 6.184
941.0, 6.117
941.385, 6.117
941.77, 6.119
942.155, 6.119
942.539, 6.053
942.924, 6.053
943.309, 5.988
943.694, 5.988
944.078, 5.988
944.463, 5.923
944.847, 5.923
945.233, 5.923
945.617, 5.923
946.002, 5.857
946.387, 5.792
946.772, 5.792
947.156, 5.792
947.541, 5.726
947.926, 5.726
948.311, 5.726
948.694, 5.662
949.08, 5.596
949.465, 5.596
949.85, 5.596
950.234, 5.596
950.619, 5.531
951.004, 5.531
951.389, 5.531
951.773, 5.531
952.158, 5.466
952.543, 5.466
952.928, 5.466
953.312, 5.466
953.697, 5.4
954.082, 5.4
954.467, 5.4
954.851, 5.4
955.236, 5.335
955.621, 5.27
956.006, 5.27
956.391, 5.27
956.775, 5.205
957.16, 5.205
957.545, 5.205
957.93, 5.205
958.314, 5.205
958.698, 5.139
959.084, 5.074
959.468, 5.074
959.853, 5.074
960.238, 5.074
960.623, 5.009
961.008, 5.009
961.392, 5.009
961.777, 4.944
962.162, 4.944
962.547, 4.944
962.931, 4.878
963.316, 4.878
963.701, 4.878
964.086, 4.878
964.47, 4.813
964.855, 4.748
965.24, 4.748
965.625, 4.748
966.009, 4.682
966.394, 4.682
966.779, 4.682
967.164, 4.682
967.548, 4.552
967.933, 4.552
968.318, 4.552
968.702, 4.552
969.087, 4.487
969.472, 4.487
969.857, 4.487
970.242, 4.421
970.626, 4.421
971.011, 4.421
971.396, 4.355
971.781, 4.355
972.165, 4.355
972.55, 4.355
972.935, 4.291
973.32, 4.225
973.704, 4.226
974.089, 4.226
974.474, 4.16
974.859, 4.16
975.242, 4.16
975.628, 4.16
976.013, 4.16
976.398, 4.095
976.782, 4.03
977.167, 4.03
977.552, 4.03
977.937, 4.03
978.322, 3.964
978.706, 3.964
979.091, 3.964
979.476, 3.899
979.861, 3.899
980.245, 3.834
980.63, 3.834
981.015, 3.769
981.4, 3.769
981.784, 3.702
982.169, 3.702
982.554, 3.638
982.939, 3.638
983.323, 3.638
983.708, 3.573
984.093, 3.507
984.478, 3.507
984.862, 3.507
985.246, 3.442
985.632, 3.377
986.017, 3.377
986.401, 3.312
986.786, 3.312
987.171, 3.246
987.556, 3.246
987.94, 3.181
988.325, 3.181
988.71, 3.116
989.095, 3.116
989.479, 3.116
989.863, 3.116
990.249, 2.984
990.634, 2.984
991.018, 2.984
991.403, 2.984
991.788, 2.92
992.173, 2.92
992.557, 2.92
992.942, 2.92
993.327, 2.92
993.712, 2.92
994.096, 2.92
994.48, 2.92
994.866, 2.855
995.251, 2.855
995.635, 2.855
996.02, 2.789
996.405, 2.789
996.79, 2.789
997.174, 2.789
997.559, 2.789
997.944, 2.724
998.329, 2.724
998.713, 2.724
999.098, 2.724
999.483, 2.724
999.867, 2.659
1000.252, 2.659
1000.637, 2.659
1001.022, 2.593
1001.407, 2.593
1001.792, 2.593
1002.176, 2.593
1002.561, 2.593
1002.946, 2.528
1003.331, 2.528
1003.714, 2.463
1004.1, 2.463
1004.484, 2.463
1004.87, 2.463
1005.254, 2.398
1005.639, 2.398
1006.024, 2.398
1006.409, 2.398
1006.793, 2.333
1007.178, 2.333
1007.563, 2.333
1007.948, 2.267
1008.332, 2.267
1008.717, 2.267
1009.102, 2.267
1009.487, 2.202
1009.871, 2.202
1010.256, 2.202
1010.641, 2.202
1011.026, 2.137
1011.41, 2.137
1011.795, 2.137
1012.18, 2.137
1012.565, 2.071
1012.948, 2.071
1013.334, 2.071
1013.718, 2.071
1014.104, 2.071
1014.488, 2.071
1014.873, 2.071
1015.258, 2.071
1015.643, 2.072
1016.027, 2.006
1016.412, 1.94
1016.797, 1.94
1017.182, 1.94
1017.565, 1.94
1017.951, 1.876
1018.336, 1.876
1018.721, 1.876
1019.105, 1.876
1019.49, 1.876
1019.875, 1.876
1020.26, 1.876
1020.644, 1.876
1021.029, 1.876
1021.414, 1.81
1021.799, 1.81
1022.183, 1.81
1022.568, 1.745
1022.952, 1.745
1023.338, 1.745
1023.722, 1.745
1024.107, 1.68
1024.492, 1.68
1024.877, 1.68
1025.262, 1.68
1025.646, 1.68
1026.031, 1.68
1026.416, 1.615
1026.801, 1.615
1027.185, 1.615
1027.569, 1.615
1027.955, 1.549
1028.34, 1.549
1028.724, 1.549
1029.109, 1.549
1029.494, 1.549
1029.879, 1.549
1030.263, 1.549
1030.648, 1.549
1031.033, 1.549
1031.418, 1.419
1031.802, 1.419
1032.187, 1.419
1032.572, 1.419
1032.956, 1.354
1033.341, 1.354
1033.726, 1.354
1034.111, 1.354
1034.496, 1.354
1034.88, 1.354
1035.265, 1.354
1035.65, 1.354
1036.035, 1.354
1036.419, 1.354
1036.804, 1.288
1037.189, 1.288
1037.573, 1.223
1037.958, 1.223
1038.343, 1.223
1038.728, 1.223
1039.113, 1.158
1039.496, 1.158
1039.882, 1.158
1040.267, 1.158
1040.652, 1.158
1041.036, 1.158
1041.421, 1.158
1041.806, 1.158
1042.191, 1.093
1042.575, 1.093
1042.96, 1.093
1043.345, 1.093
1043.73, 1.027
1044.114, 1.027
1044.499, 1.027
1044.884, 1.027
1045.269, 1.027
1045.653, 1.027
1046.038, 1.027
1046.423, 1.027
1046.808, 1.027
1047.192, 1.027
1047.577, 1.027
1047.962, 1.027
1048.347, 0.962
1048.732, 0.962
1049.116, 0.897
1049.501, 0.897
1049.886, 0.897
1050.271, 0.897
1050.655, 0.831
1051.04, 0.831
1051.425, 0.831
1051.81, 0.831
1052.194, 0.831
1052.579, 0.831
1052.964, 0.831
1053.349, 0.831
1053.733, 0.831
1054.117, 0.831
1054.503, 0.831
1054.888, 0.831
1055.272, 0.831
1055.657, 0.831
1056.042, 0.831
1056.427, 0.831
1056.811, 0.831
1057.196, 0.831
1057.581, 0.831
1057.966, 0.831
1058.35, 0.766
1058.734, 0.766
1059.12, 0.701
1059.505, 0.701
1059.889, 0.701
1060.274, 0.701
1060.659, 0.701
1061.044, 0.701
1061.428, 0.701
1061.813, 0.701
1062.198, 0.701
1062.583, 0.701
1062.967, 0.701
1063.351, 0.636
1063.737, 0.636
1064.121, 0.636
1064.506, 0.636
1064.891, 0.636
1065.276, 0.636
1065.661, 0.636
1066.045, 0.636
1066.43, 0.636
1066.815, 0.636
1067.2, 0.636
1067.584, 0.636
1067.968, 0.636
1068.354, 0.636
1068.738, 0.636
1069.123, 0.636
1069.508, 0.636
1069.893, 0.636
1070.278, 0.636
1070.662, 0.636
1071.047, 0.636
1071.432, 0.636
1071.817, 0.636
1072.202, 0.636
1072.585, 0.636
1072.971, 0.636
1073.355, 0.636
1073.741, 0.571
1074.125, 0.571
1074.51, 0.571
1074.895, 0.571
1075.28, 0.571
1075.664, 0.571
1076.049, 0.571
1076.434, 0.571
1076.819, 0.571
1077.203, 0.571
1077.588, 0.571
1077.972, 0.571
1078.358, 0.571
1078.742, 0.506
1079.127, 0.506
1079.512, 0.506
1079.897, 0.506
1080.281, 0.506
1080.666, 0.506
1081.051, 0.506
1081.436, 0.506
1081.819, 0.506
1082.205, 0.506
1082.589, 0.506
1082.975, 0.506
1083.359, 0.506
1083.744, 0.506
1084.129, 0.506
1084.514, 0.506
1084.898, 0.506
1085.283, 0.506
1085.668, 0.506
1086.053, 0.506
1086.437, 0.506
1086.822, 0.506
1087.207, 0.506
1087.592, 0.506
1087.976, 0.506
1088.361, 0.506
1088.746, 0.506
1089.131, 0.506
1089.515, 0.506
1089.9, 0.506
1090.285, 0.506
1090.67, 0.506
1091.054, 0.506
1091.439, 0.506
1091.823, 0.506
1092.209, 0.506
1092.593, 0.506
1092.978, 0.506
1093.363, 0.506
1093.748, 0.506
1094.132, 0.506
1094.517, 0.506
1094.902, 0.441
1095.287, 0.441
1095.672, 0.441
1096.056, 0.441
1096.441, 0.375
1096.826, 0.375
1097.211, 0.31
1097.595, 0.31
1097.98, 0.31
1098.365, 0.31
1098.75, 0.245
1099.134, 0.18
1099.519, 0.114
1099.134, 0.18
1098.75, 0.18
1098.365, 0.245
1097.98, 0.31
1097.595, 0.375
1097.98, 0.375
1098.365, 0.375
1098.75, 0.375
1099.134, 0.441
1099.519, 0.441
1100.00, 0.506
