#DataThief C:\Users\erick\OneDrive\Documents\ucsd\Postdoc\research\thermal camera\BFS-U3-16S2M_QE.png Wednesday 22-Feb-2023 12:12:16 PM
Wavelength (nm),Quantum efficiency (%)
433.125, 57.694
433.51, 57.825
433.894, 57.89
434.279, 58.02
434.664, 58.086
435.049, 58.282
435.433, 58.412
435.818, 58.478
436.203, 58.738
436.588, 58.804
436.972, 58.935
437.357, 59.065
437.742, 59.131
438.127, 59.261
438.511, 59.457
438.896, 59.522
439.281, 59.784
439.666, 59.849
440.05, 59.98
440.435, 59.98
440.819, 59.98
441.205, 60.11
441.589, 60.175
441.974, 60.241
442.359, 60.437
442.744, 60.437
443.129, 60.502
443.513, 60.633
443.898, 60.633
444.283, 60.698
444.668, 60.763
445.052, 60.829
445.437, 60.959
445.822, 61.024
446.207, 61.09
446.591, 61.22
446.976, 61.22
447.361, 61.351
447.746, 61.416
448.13, 61.416
448.515, 61.612
448.9, 61.677
449.285, 61.742
449.669, 61.808
450.054, 61.873
450.439, 61.939
450.823, 62.004
451.208, 62.069
451.593, 62.135
451.978, 62.2
452.363, 62.265
452.746, 62.331
453.132, 62.396
453.517, 62.461
453.902, 62.526
454.286, 62.592
454.671, 62.657
455.056, 62.722
455.441, 62.788
455.825, 62.853
456.21, 62.918
456.595, 62.984
456.98, 63.049
457.363, 63.049
457.749, 63.114
458.134, 63.18
458.519, 63.245
458.903, 63.31
459.288, 63.375
459.673, 63.441
460.058, 63.571
460.442, 63.637
460.827, 63.702
461.212, 63.767
461.597, 63.833
461.98, 63.898
462.366, 63.963
462.751, 64.029
463.136, 64.094
463.521, 64.159
463.905, 64.355
464.29, 64.355
464.675, 64.355
465.06, 64.551
465.444, 64.616
465.829, 64.682
466.214, 64.812
466.599, 64.812
466.983, 64.877
467.367, 64.943
467.753, 65.008
468.138, 65.139
468.522, 65.204
468.907, 65.269
469.292, 65.335
469.677, 65.4
470.061, 65.4
470.446, 65.4
470.831, 65.4
471.216, 65.465
471.6, 65.465
471.984, 65.531
472.37, 65.596
472.755, 65.596
473.139, 65.596
473.524, 65.596
473.909, 65.596
474.294, 65.596
474.678, 65.596
475.063, 65.596
475.448, 65.596
475.833, 65.596
476.217, 65.596
476.601, 65.661
476.987, 65.726
477.371, 65.726
477.756, 65.792
478.141, 65.792
478.526, 65.792
478.911, 65.792
479.295, 65.792
479.68, 65.792
480.065, 65.792
480.45, 65.792
480.834, 65.792
481.219, 65.792
481.604, 65.792
481.988, 65.792
482.373, 65.792
482.758, 65.792
483.143, 65.792
483.528, 65.792
483.912, 65.792
484.297, 65.792
484.682, 65.792
485.067, 65.792
485.451, 65.792
485.835, 65.792
486.221, 65.792
486.605, 65.792
486.991, 65.792
487.375, 65.792
487.76, 65.792
488.145, 65.792
488.53, 65.726
488.914, 65.726
489.299, 65.726
489.684, 65.662
490.069, 65.726
490.453, 65.726
490.838, 65.792
491.223, 65.792
491.608, 65.792
491.992, 65.792
492.377, 65.792
492.762, 65.792
493.147, 65.792
493.531, 65.792
493.916, 65.792
494.301, 65.792
494.686, 65.858
495.07, 65.858
495.455, 65.858
495.839, 65.858
496.225, 65.923
496.609, 65.923
496.994, 65.988
497.379, 65.988
497.764, 66.053
498.148, 66.053
498.533, 66.119
498.918, 66.119
499.303, 66.119
499.687, 66.119
500.072, 66.119
500.457, 66.119
500.842, 66.119
501.226, 66.119
501.611, 66.054
501.996, 66.054
502.381, 65.988
502.765, 65.988
503.15, 65.988
503.535, 65.988
503.92, 65.923
504.304, 65.858
504.689, 65.858
505.074, 65.858
505.459, 65.858
505.843, 65.792
506.228, 65.792
506.613, 65.792
506.998, 65.726
507.382, 65.726
507.767, 65.662
508.152, 65.597
508.537, 65.597
508.921, 65.597
509.306, 65.597
509.69, 65.597
510.076, 65.597
510.461, 65.531
510.845, 65.531
511.23, 65.531
511.615, 65.466
512.0, 65.466
512.384, 65.466
512.769, 65.466
513.154, 65.401
513.539, 65.401
513.923, 65.401
514.308, 65.401
514.693, 65.401
515.078, 65.401
515.462, 65.401
515.847, 65.401
516.232, 65.401
516.617, 65.401
517.001, 65.336
517.386, 65.336
517.771, 65.336
518.156, 65.336
518.54, 65.27
518.925, 65.27
519.31, 65.27
519.694, 65.27
520.079, 65.27
520.464, 65.27
520.849, 65.336
521.234, 65.336
521.617, 65.401
522.003, 65.401
522.388, 65.466
522.773, 65.466
523.157, 65.466
523.542, 65.466
523.927, 65.532
524.312, 65.532
524.696, 65.532
525.081, 65.728
525.466, 65.793
525.851, 65.793
526.234, 65.793
526.62, 65.793
527.005, 65.923
527.39, 65.923
527.774, 65.923
528.159, 65.923
528.544, 65.988
528.929, 65.988
529.313, 66.054
529.698, 66.119
530.083, 66.119
530.468, 66.119
530.851, 66.119
531.237, 66.25
531.621, 66.315
532.007, 66.315
532.391, 66.315
532.776, 66.315
533.161, 66.315
533.546, 66.381
533.931, 66.446
534.315, 66.446
534.7, 66.446
535.085, 66.511
535.47, 66.511
535.854, 66.577
536.238, 66.642
536.624, 66.642
537.009, 66.642
537.393, 66.642
537.778, 66.706
538.163, 66.773
538.548, 66.838
538.932, 66.838
539.317, 66.838
539.702, 66.838
540.087, 66.838
540.471, 66.838
540.855, 66.838
541.241, 66.838
541.626, 66.838
542.01, 66.838
542.395, 66.773
542.78, 66.773
543.165, 66.706
543.549, 66.706
543.934, 66.706
544.319, 66.642
544.704, 66.642
545.088, 66.577
545.472, 66.512
545.858, 66.512
546.242, 66.512
546.627, 66.512
547.012, 66.446
547.397, 66.381
547.782, 66.381
548.166, 66.381
548.551, 66.316
548.936, 66.316
549.321, 66.316
549.705, 66.316
550.09, 66.316
550.475, 66.316
550.859, 66.316
551.244, 66.316
551.629, 66.316
552.014, 66.25
552.399, 66.25
552.783, 66.25
553.168, 66.251
553.553, 66.251
553.938, 66.251
554.322, 66.251
554.706, 66.251
555.092, 66.251
555.476, 66.251
555.861, 66.251
556.246, 66.251
556.631, 66.251
557.016, 66.251
557.401, 66.251
557.785, 66.251
558.17, 66.251
558.555, 66.251
558.94, 66.251
559.324, 66.251
559.709, 66.251
560.094, 66.251
560.479, 66.251
560.863, 66.251
561.248, 66.251
561.633, 66.251
562.018, 66.251
562.402, 66.251
562.787, 66.251
563.172, 66.251
563.557, 66.251
563.94, 66.251
564.326, 66.251
564.71, 66.251
565.096, 66.316
565.48, 66.316
565.865, 66.316
566.25, 66.316
566.635, 66.316
567.019, 66.316
567.404, 66.316
567.789, 66.316
568.174, 66.316
568.558, 66.316
568.943, 66.316
569.328, 66.316
569.713, 66.316
570.097, 66.316
570.482, 66.316
570.867, 66.316
571.252, 66.251
571.636, 66.251
572.021, 66.186
572.406, 66.12
572.791, 66.12
573.175, 66.055
573.56, 65.99
573.944, 65.99
574.33, 65.99
574.714, 65.99
575.099, 65.924
575.484, 65.924
575.869, 65.859
576.253, 65.859
576.638, 65.859
577.023, 65.794
577.408, 65.794
577.792, 65.729
578.177, 65.663
578.562, 65.663
578.947, 65.663
579.331, 65.597
579.716, 65.597
580.101, 65.597
580.486, 65.533
580.871, 65.467
581.255, 65.467
581.64, 65.468
582.025, 65.468
582.41, 65.402
582.794, 65.402
583.179, 65.402
583.564, 65.337
583.948, 65.337
584.333, 65.337
584.718, 65.337
585.103, 65.272
585.488, 65.272
585.871, 65.272
586.257, 65.272
586.642, 65.272
587.027, 65.206
587.411, 65.141
587.796, 65.141
588.181, 65.141
588.565, 65.076
588.95, 65.076
589.335, 65.076
589.72, 65.011
590.105, 64.944
590.488, 64.944
590.874, 64.88
591.259, 64.815
591.644, 64.815
592.028, 64.684
592.413, 64.619
592.798, 64.619
593.183, 64.488
593.567, 64.423
593.952, 64.292
594.337, 64.292
594.722, 64.227
595.106, 64.097
595.491, 64.097
595.876, 64.031
596.261, 63.966
596.645, 63.901
597.03, 63.901
597.415, 63.835
597.8, 63.77
598.184, 63.705
598.569, 63.639
598.954, 63.573
599.339, 63.509
599.722, 63.444
600.108, 63.378
600.492, 63.378
600.878, 63.378
601.262, 63.182
601.647, 63.182
602.032, 63.182
602.417, 63.117
602.801, 63.052
603.186, 62.987
603.571, 62.921
603.956, 62.855
604.341, 62.725
604.725, 62.725
605.11, 62.66
605.495, 62.53
605.88, 62.53
606.264, 62.464
606.649, 62.399
607.034, 62.334
607.419, 62.334
607.803, 62.268
608.188, 62.203
608.573, 62.138
608.958, 62.138
609.342, 62.007
609.726, 62.007
610.112, 62.007
610.496, 61.877
610.881, 61.811
611.266, 61.811
611.651, 61.681
612.036, 61.616
612.42, 61.616
612.805, 61.55
613.19, 61.484
613.575, 61.484
613.959, 61.42
614.343, 61.42
614.729, 61.289
615.114, 61.289
615.498, 61.289
615.883, 61.158
616.268, 61.093
616.653, 60.963
617.037, 60.963
617.422, 60.897
617.807, 60.831
618.192, 60.831
618.576, 60.767
618.96, 60.767
619.346, 60.701
619.73, 60.571
620.115, 60.506
620.5, 60.44
620.885, 60.31
621.27, 60.244
621.654, 60.244
622.039, 59.983
622.424, 59.918
622.809, 59.787
623.193, 59.787
623.577, 59.722
623.963, 59.461
624.347, 59.461
624.732, 59.396
625.117, 59.265
625.502, 59.2
625.887, 59.069
626.271, 58.939
626.656, 58.873
627.041, 58.612
627.426, 58.547
627.811, 58.482
628.195, 58.351
628.58, 58.351
628.964, 58.22
629.35, 58.22
629.734, 58.155
630.119, 58.155
630.504, 58.155
630.889, 58.155
631.273, 58.155
631.658, 58.155
632.043, 58.155
632.428, 58.155
632.812, 58.155
633.197, 58.155
633.581, 58.155
633.967, 58.155
634.351, 58.155
634.736, 58.155
635.121, 58.155
635.506, 58.155
635.89, 58.155
636.275, 58.155
636.66, 58.155
637.045, 58.155
637.429, 58.155
637.814, 58.155
638.199, 58.155
638.584, 58.155
638.968, 58.155
639.353, 58.155
639.738, 58.155
640.123, 58.09
640.507, 57.894
640.892, 57.894
641.277, 57.829
641.662, 57.698
642.046, 57.633
642.431, 57.437
