# ********************
# Shot #203784
# BD line brightness
# Wavelength range (Å): [4324, 4329] 
# ********************
time (s),qpara (MW/m2),Flux (molecules/s)
2.000001,11.304316679694827,2412458082030201.0
2.020001,23.410793194962938,1699728194560367.5
2.040001,25.054099407172675,3921803439994220.0
2.060001,31.10920949414392,2119600708616616.2
2.080001,33.76998651477004,2802657713943892.5
2.1000010000000002,36.237761018653345,2386251753841476.5
2.1200010000000002,37.966841182978406,2781618978166619.0
2.1400010000000003,38.22555147602231,3758102852466363.5
2.1600010000000003,37.39793473584907,1.0478500911684584e+16
2.1800010000000003,50.30529218038691,8326423192892984.0
2.2000010000000003,47.36392164355555,6616519381104923.0
2.2200010000000003,44.261690854422135,7054846600814684.0
2.2400010000000004,29.867296226953787,1911687850118112.8
2.2600010000000004,41.032955309324436,9356795112632982.0
2.2800010000000004,48.5527376717468,1.088169003979993e+16
2.3000010000000004,35.99928950836918,1929900926078529.5
2.3200010000000004,38.166332495963196,1.2969912892396354e+16
2.340001,50.83405297978475,1.9259316578183216e+16
2.360001,49.046994948507034,1.2841400010095018e+16
2.380001,49.18559070351583,1.606528469468089e+16
2.400001,50.85047997181453,1.796080118929625e+16
2.420001,50.48737413990858,1.6739601088111122e+16
2.440001,51.20180807741113,1.962293781027649e+16
2.460001,48.03819750791787,1.5847881685013438e+16
2.480001,56.074786045107174,2.1795120747240668e+16
2.500001,55.3018849645253,1.5126355077253984e+16
2.5200010000000006,54.70721429387117,1.6516626089882386e+16
2.540001,52.38785581096888,1.486359200555398e+16
2.5600010000000006,50.703119070580286,2.1647365225929944e+16
2.580001,53.200059786153766,2.0310943735076864e+16
2.600001,52.78289812907445,2.1453093216233616e+16
2.6200010000000002,48.6608848322119,2.257767396556391e+16
2.640001,43.373812591163166,2.5196693745594464e+16
2.6600010000000003,40.60455818196587,2.5526788259805724e+16
2.680001,46.009396587092674,2.838723118980127e+16
2.7000010000000003,46.449053763701194,2.760430191996993e+16
2.720001,48.28523971601533,3.096211992552656e+16
2.7400010000000004,50.67437700912629,2.870749436512567e+16
2.760001,40.95308152759669,2.40488336499878e+16
2.7800010000000004,55.0890861184884,2.5320129899906948e+16
2.800001,47.07873171826062,2.4148232235220704e+16
2.8200010000000004,43.815249239239705,1.961454124633468e+16
2.840001,43.86756629222187,2.1162872591311616e+16
2.8600010000000005,41.56857372678739,1.7639012066753354e+16
2.880001,41.52422325649452,2.851366778084631e+16
2.9000010000000005,47.16064505052491,2.215347620391129e+16
2.920001,45.34006639979973,1.93386291298942e+16
2.9400010000000005,40.15866925837374,1.405697392292637e+16
2.960001,39.12668856963264,1.496721870397994e+16
2.9800010000000006,45.41206490648896,2.2920608743454304e+16
3.000001,46.85589417674433,2.3698217003255064e+16
3.0200010000000006,45.619381509695515,2.0442633048217788e+16
3.040001,41.590220701087745,1.6810360947494904e+16
3.0600010000000006,33.437335828898114,1.4776043529924118e+16
3.080001,25.17370730632199,1.5992498555605586e+16
3.1000010000000007,17.204866686877804,7849273821553245.0
3.1200010000000002,7.716659820478901,2857373887051144.5
3.140001,4.01813084171282,1561246197811709.2
