#Procedure: <__main__.BakingProcedure>
#Parameters:
#	Experiment Time: 6 h
#	Sampling Interval: 1 s
#Data:
Time (h),Pressure CH1 (Torr)
0.00011641138888888889,0.9199999999999999
0.0003696383333333333,0.91
0.0006559619444444445,0.91
0.0009310011111111111,0.9
0.0012048672222222223,0.8900000000000001
0.0014873511111111112,0.8900000000000001
0.0017681194444444446,0.8900000000000001
0.0020423808333333332,0.8900000000000001
0.0023202822222222223,0.8800000000000001
0.0025960225,0.86
0.0028672102777777776,0.8500000000000001
0.0031607455555555555,0.8400000000000001
0.003433958055555556,0.8400000000000001
0.0037086180555555557,0.8400000000000001
0.003984091111111111,0.8400000000000001
0.004270503888888889,0.8400000000000001
0.004538569166666667,0.8300000000000001
0.004820623611111111,0.81
0.0050986961111111105,0.8
0.005376459722222222,0.8
0.00565414611111111,0.79
0.005931829444444444,0.8
0.006209566388888889,0.81
0.006488110555555556,0.79
0.006765824166666667,0.78
0.007044021944444444,0.79
0.007321737777777778,0.79
0.007599442222222222,0.79
0.007875238055555556,0.79
0.00814859,0.78
0.008430684722222222,0.78
0.00870834611111111,0.78
0.008986166666666667,0.78
0.009263881111111111,0.78
0.009541548611111112,0.78
0.009819290277777778,0.78
0.01009702,0.78
0.010377470555555556,0.78
0.010655185,0.79
0.010930305277777778,0.79
0.01120803138888889,0.79
0.011485746111111111,0.78
0.01176495,0.79
0.012042659999999998,0.79
0.012318605555555556,0.78
0.012596367222222222,0.77
0.012876755,0.77
0.013154470555555554,0.77
0.013432198055555556,0.77
0.01370988888888889,0.76
0.0139875825,0.75
0.01426534111111111,0.75
0.014543054166666668,0.75
0.014821865833333333,0.75
0.015098155833333333,0.75
0.015375878888888889,0.7400000000000001
0.015653618333333334,0.7400000000000001
0.015937029444444445,0.7400000000000001
0.016210404444444444,0.7400000000000001
0.01648806861111111,0.7400000000000001
0.016764990555555557,0.7400000000000001
0.017042689444444443,0.7400000000000001
0.017323825833333334,0.7400000000000001
0.017597177500000002,0.73
0.017875902500000002,0.71
0.018153608055555555,0.7000000000000001
0.018431841111111114,0.7000000000000001
0.01870845611111111,0.7000000000000001
0.018986591666666667,0.7000000000000001
0.019264024999999997,0.7000000000000001
0.019540936944444445,0.7000000000000001
0.019817744444444445,0.7000000000000001
0.020098611944444445,0.7000000000000001
0.02037054,0.7000000000000001
0.020652109999999998,0.7000000000000001
0.02092945666666667,0.7000000000000001
0.021209684166666666,0.7000000000000001
0.0214864375,0.7000000000000001
0.02176331527777778,0.7000000000000001
0.022040808888888888,0.7000000000000001
0.022321349722222224,0.6900000000000001
0.022598604444444444,0.6900000000000001
0.022875908333333334,0.6900000000000001
0.023152675555555554,0.6900000000000001
0.0234300025,0.6900000000000001
0.02370737055555556,0.68
0.023988598055555557,0.68
0.02426580388888889,0.68
0.02454211,0.68
0.024818314166666664,0.67
0.025098896666666665,0.66
0.025376140000000002,0.66
0.025653174166666667,0.66
0.02593037638888889,0.66
0.026207493888888888,0.65
0.026488339722222223,0.65
0.0267653375,0.65
0.027042008333333332,0.65
0.027318909166666665,0.65
0.027595945000000004,0.6400000000000001
0.027877290555555555,0.6400000000000001
0.02815422138888889,0.6400000000000001
0.028426173055555556,0.63
0.02870822638888889,0.63
0.02898571361111111,0.6200000000000001
0.029263425555555556,0.61
0.02954221222222222,0.6000000000000001
0.029818284166666667,0.5900000000000001
