#Procedure: <__main__.BakingProcedure>
#Parameters:
#	Experiment Time: 1 h
#	Sampling Interval: 1 s
#Data:
Time (h),Pressure CH1 (Torr)
0.00010088500000000001,0.21000000000000002
0.0003769055555555555,0.21000000000000002
0.0006473108333333332,0.2
0.0009315566666666666,0.2
0.0012049772222222223,0.2
0.0014881686111111112,0.2
0.0017659672222222222,0.21000000000000002
0.002039282777777778,0.2
0.0023204847222222224,0.2
0.0025991155555555555,0.2
0.002870832222222222,0.2
0.0031470555555555553,0.2
0.004567361388888889,0.2
