#Procedure: <__main__.ExtruderPIDProcedure>
#Parameters:
#	Experiment Time: 10 min
#	Kd: 0
#	Ki: 0
#	Kp: 2000
#	Temperature Setpoint: 100 C
#Data:
Time (min),Temperature (C),Voltage (V),PID Control (V)
0.00661624272664388,777.5,0.0,0
0.01693030595779419,776.25,0.0,0
0.02493060032526652,775.0,0.0,0
0.030613664786020914,774.5,0.0,0
0.04175184567769368,773.0,0.0,0
0.04761136770248413,772.0,0.0,0
0.05885857343673706,770.75,0.0,0
0.06439980665842691,770.25,0.0,0
0.07901436487833659,768.75,0.0,0
0.08851836919784546,767.5,0.0,0
0.09547190268834432,766.5,0.0,0
0.10558280150095621,765.25,0.0,0
0.11103368600209554,764.25,0.0,0
0.12083885272343954,763.5,0.0,0
0.1307466983795166,762.25,0.0,0
0.13627670605977377,761.5,0.0,0
0.1476125995318095,760.0,0.0,0
0.15354065100351968,759.5,0.0,0
0.16360464493433635,758.5,0.0,0
0.1739001433054606,757.25,0.0,0
0.18149317900339762,756.25,0.0,0
0.18844246864318848,755.5,0.0,0
0.20174659490585328,754.25,0.0,0
0.2096777041753133,753.0,0.0,0
0.21546028852462767,752.25,0.0,0
0.2284561554590861,751.25,0.0,0
0.2386909564336141,750.0,0.0,0
0.2458626627922058,749.0,0.0,0
0.25347506205240883,748.25,0.0,0
0.26337029139200846,747.0,0.0,0
0.2694614251454671,746.25,0.0,0
0.2796685338020325,745.25,0.0,0
0.2898892879486084,744.25,0.0,0
0.29745755195617674,743.25,0.0,0
0.30427437225977577,742.75,0.0,0
0.3156345327695211,741.25,0.0,0
0.32403241395950316,740.75,0.0,0
0.3342719515164693,739.75,0.0,0
0.34455813964207965,738.5,0.0,0
0.3522135297457377,737.5,0.0,0
0.35940955877304076,737.0,0.0,0
0.3690478881200155,735.75,0.0,0
0.37606617212295534,735.0,0.0,0
0.38896239598592125,734.0,0.0,0
0.3972745299339294,732.75,0.0,0
0.40291848182678225,732.25,0.0,0
0.4143085598945618,731.25,0.0,0
0.41998035113016763,730.5,0.0,0
0.43105671803156537,729.5,0.0,0
0.4367472251256307,728.75,0.0,0
0.4481179396311442,727.75,0.0,0
0.4538085341453552,727.0,0.0,0
0.464969543615977,726.0,0.0,0
0.47060296138127644,725.25,0.0,0
0.4819240729014079,724.25,0.0,0
0.48756548166275027,723.75,0.0,0
0.4992475708325704,722.5,0.0,0
0.5049421866734822,722.0,0.0,0
0.5158491849899292,720.75,0.0,0
0.5227715611457825,720.25,0.0,0
0.5328675627708435,719.25,0.0,0
0.5390844424565633,718.75,0.0,0
0.5475299715995788,718.0,0.0,0
0.559544853369395,717.0,0.0,0
0.5683083097139995,716.0,0.0,0
0.5736356695493062,715.25,0.0,0
0.5868450442949931,714.5,0.0,0
0.5937129259109497,713.5,0.0,0
