Time (s),TC1 (C),TC2 (C)
3.975,23.0,50.5
3.99,23.0,50.5
4.005,23.0,50.75
4.02,23.0,50.75
4.035,23.0,50.75
4.05,23.0,50.75
4.065,23.0,50.75
4.08,23.0,50.75
4.095,23.0,50.75
4.11,22.75,50.75
4.125,22.75,50.75
4.14,22.75,50.75
4.155,22.75,51.0
4.17,23.0,51.0
4.185,23.0,51.0
4.2,23.0,51.0
4.215,23.0,51.0
4.23,23.0,51.25
4.245,22.75,51.25
4.26,22.75,51.25
4.275,22.75,51.25
4.29,22.75,51.25
4.305,22.75,51.25
4.32,23.0,51.25
4.335,23.0,51.25
4.35,23.0,51.25
4.365,23.0,51.25
4.38,23.0,51.25
4.395,23.0,51.25
4.41,23.0,51.25
4.425,23.0,51.25
4.44,23.0,51.25
4.455,23.0,51.5
4.47,22.75,51.5
4.485,22.75,51.5
4.5,22.75,51.5
4.515,22.75,51.5
4.53,22.75,51.5
4.545,22.75,51.5
4.56,22.75,51.5
4.575,22.75,51.5
4.59,22.75,51.5
4.605,22.75,51.5
4.62,23.0,51.5
4.635,23.0,51.5
4.65,23.0,51.5
4.665,23.0,51.5
4.68,23.0,51.5
4.695,23.0,51.5
4.71,23.0,51.5
4.725,23.0,51.5
4.74,23.0,51.5
4.755,23.0,51.5
4.77,22.75,51.5
4.785,22.75,51.5
4.8,22.75,51.5
4.815,22.75,51.5
4.83,22.75,51.5
4.845,23.0,51.5
4.86,23.0,51.5
4.875,23.0,51.5
4.89,23.0,51.5
4.905,23.0,51.5
4.92,23.0,51.5
4.935,23.0,51.5
4.95,23.0,51.5
4.965,23.0,51.5
4.98,23.0,51.5
4.995,22.75,51.5
5.01,22.75,51.5
5.025,22.75,51.5
5.04,22.75,51.75
5.055,22.75,51.75
5.07,23.0,51.75
5.085,23.0,51.75
5.1,23.0,51.75
5.115,23.0,51.75
5.13,23.0,51.75
5.145,23.0,51.75
5.16,23.0,51.75
5.175,23.0,51.75
5.19,23.0,51.75
5.205,23.0,51.75
5.22,23.0,51.75
5.235,23.0,51.75
5.25,23.0,51.75
5.265,23.0,51.75
5.28,23.0,51.75
5.295,23.0,51.75
5.31,23.0,51.75
5.325,23.0,51.75
5.34,23.0,51.5
5.355,23.0,51.5
5.37,22.75,51.5
5.385,22.75,51.5
5.4,22.75,51.5
5.415,22.75,51.75
5.43,22.75,51.75
5.445,23.0,51.75
5.46,23.0,51.75
5.475,23.0,51.75
5.49,23.0,51.75
5.505,23.0,51.75
5.52,23.0,51.75
5.535,23.0,51.75
5.55,23.0,51.75
5.565,23.0,51.75
5.58,23.0,51.75
5.595,23.0,51.75
5.61,23.0,51.75
5.625,23.0,51.75
5.64,23.0,51.75
5.655,23.0,51.75
5.67,22.75,51.75
5.685,22.75,51.75
5.7,22.75,51.75
5.715,22.75,51.75
5.73,22.75,51.75
5.745,23.0,51.75
5.76,23.0,51.75
5.775,23.0,51.75
5.79,23.0,51.75
5.805,23.0,51.75
5.82,23.0,51.75
5.835,23.0,51.75
5.85,23.0,51.75
5.865,23.0,51.75
5.88,22.75,51.75
5.895,22.75,51.75
5.91,22.75,51.75
5.925,22.75,51.75
5.94,22.75,51.75
5.955,23.0,51.75
5.97,23.0,51.75
5.985,23.0,51.75
6.0,23.0,51.75
6.015,23.0,51.5
6.03,23.0,51.5
6.045,23.0,51.5
6.06,23.0,51.5
6.075,23.0,51.5
6.09,23.0,51.75
6.105,23.0,51.75
6.12,23.0,51.75
6.135,23.0,51.75
6.15,23.0,51.75
6.165,23.0,51.75
6.18,23.0,51.75
6.195,23.0,51.75
6.21,23.0,51.75
6.225,23.0,51.75
6.24,23.0,51.75
6.255,23.0,51.75
6.27,23.0,51.75
6.285,23.0,51.75
6.3,23.0,51.75
6.315,23.0,51.75
6.33,23.0,51.75
6.345,23.0,51.75
6.36,23.0,51.75
6.375,23.0,51.75
6.39,23.0,51.75
6.405,23.0,51.75
6.42,23.0,51.75
6.435,23.0,51.75
6.45,23.0,51.75
6.465,23.0,51.75
6.48,23.0,51.75
6.495,23.0,51.75
6.51,23.0,51.75
6.525,23.0,51.75
6.54,23.0,51.75
6.555,22.75,51.75
6.57,22.75,51.75
6.585,22.75,51.75
6.6,22.75,51.75
6.615,22.75,51.75
6.63,23.0,51.75
6.645,23.0,51.75
6.66,23.0,51.75
6.675,23.0,51.75
6.69,23.0,51.75
6.705,22.75,51.75
6.72,22.75,51.75
6.735,22.75,51.75
6.75,22.75,51.75
6.765,22.75,51.75
6.78,23.0,51.75
6.795,23.0,51.75
6.81,23.0,51.75
6.825,23.0,51.75
6.84,23.0,51.75
6.855,23.0,51.75
6.87,23.0,51.75
6.885,23.0,51.75
6.9,23.0,51.75
6.915,23.0,51.75
6.93,23.0,51.75
6.945,23.0,51.75
6.96,23.0,51.75
6.975,23.0,51.5
6.99,23.0,51.5
7.005,22.75,51.5
7.02,22.75,51.5
7.035,22.75,51.5
7.05,22.75,51.75
7.065,22.75,51.75
7.08,23.0,51.75
7.095,23.0,51.75
7.11,23.0,51.75
7.125,23.0,51.5
7.14,23.0,51.5
7.155,23.0,51.5
7.17,23.0,51.5
7.185,23.0,51.5
7.2,23.0,51.5
7.215,23.0,51.5
7.23,23.0,51.5
7.245,23.0,51.5
7.26,23.0,51.5
7.275,23.0,51.5
7.29,23.0,51.5
7.305,22.75,51.5
7.32,22.75,51.5
7.335,22.75,51.5
7.35,22.75,51.5
7.365,22.75,51.5
7.38,22.75,51.5
7.395,22.75,51.5
7.41,22.75,51.5
7.425,22.75,51.5
7.44,22.75,51.5
7.455,22.75,51.5
7.47,22.75,51.5
7.485,22.75,51.5
7.5,22.75,51.5
7.515,22.75,51.5
7.53,23.0,51.5
7.545,23.0,51.5
7.56,23.0,51.5
7.575,23.0,51.5
7.59,22.75,51.5
7.605,22.75,51.5
7.62,22.75,51.5
7.635,22.75,51.5
7.65,22.75,51.5
7.665,22.75,51.5
7.68,22.75,51.5
7.695,22.75,51.5
7.71,22.75,51.5
7.725,22.75,51.5
7.74,23.0,51.5
7.755,23.0,51.5
7.77,23.0,51.5
7.785,23.0,51.5
7.8,23.0,51.5
7.815,23.0,51.5
7.83,23.0,51.5
7.845,23.0,51.5
7.86,23.0,51.5
7.875,23.0,51.5
7.89,23.0,51.5
7.905,23.0,51.5
7.92,23.0,51.5
7.935,23.0,51.5
7.95,23.0,51.5
7.965,23.0,51.5
7.98,23.0,51.5
7.995,23.0,51.5
8.01,23.0,51.5
8.025,23.0,51.5
8.04,22.75,51.5
8.055,22.75,51.5
8.07,22.75,51.5
8.085,22.75,51.5
8.1,22.75,51.5
8.115,23.0,51.5
8.13,23.0,51.5
8.145,23.0,51.5
8.16,23.0,51.5
8.175,23.0,51.5
8.19,22.75,51.5
8.205,22.75,51.5
8.22,22.75,51.5
8.235,22.75,51.5
8.25,22.75,51.5
8.265,23.0,51.5
8.28,23.0,51.5
8.295,23.0,51.5
8.31,23.0,51.5
8.325,23.0,51.5
8.34,23.0,51.5
8.355,23.0,51.5
8.37,23.0,51.5
8.385,23.0,51.5
8.4,23.0,51.5
8.415,22.75,51.5
8.43,22.75,51.5
8.445,22.75,51.5
8.46,22.75,51.5
8.475,22.75,51.5
8.49,23.0,51.5
8.505,23.0,51.5
8.52,23.0,51.5
8.535,23.0,51.5
8.55,23.0,51.5
8.565,22.75,51.5
8.58,22.75,51.5
8.595,22.75,51.5
8.61,22.75,51.5
8.625,22.75,51.5
8.64,23.0,51.5
8.655,23.0,51.5
8.67,23.0,51.5
8.685,23.0,51.5
8.7,23.0,51.5
8.715,22.75,51.5
8.73,22.75,51.5
8.745,22.75,51.5
8.76,22.75,51.75
8.775,22.75,51.75
8.79,23.0,51.75
8.805,23.0,51.75
8.82,23.0,51.75
8.835,23.0,51.5
8.85,23.0,51.5
8.865,23.0,51.5
8.88,23.0,51.5
8.895,23.0,51.5
8.91,23.0,51.75
8.925,23.0,51.75
8.94,23.0,51.75
8.955,23.0,51.75
8.97,23.0,51.75
8.985,23.0,51.75
9.0,23.0,51.75
9.015,23.0,51.75
9.03,23.0,51.75
9.045,23.0,51.75
9.06,23.0,51.75
9.075,23.0,51.75
9.09,22.75,51.75
9.105,22.75,51.75
9.12,22.75,51.75
9.135,22.75,51.75
9.15,22.75,51.75
9.165,23.0,51.75
9.18,23.0,51.75
9.195,23.0,51.75
9.21,23.0,51.75
9.225,23.0,51.75
9.24,23.0,51.75
9.255,23.0,51.75
9.27,23.0,51.75
9.285,23.0,51.75
9.3,23.0,51.75
9.315,23.0,51.75
9.33,23.0,51.75
9.345,23.0,51.75
9.36,23.0,51.75
9.375,23.0,51.75
9.39,23.0,51.75
9.405,23.0,51.75
9.42,23.0,51.75
9.435,23.0,51.75
9.45,22.75,51.75
9.465,22.75,51.75
9.48,22.75,51.75
9.495,22.75,51.75
9.51,22.75,51.75
9.525,23.0,51.75
9.54,23.0,51.75
9.555,23.0,51.75
9.57,23.0,51.75
9.585,23.0,51.75
9.6,23.0,51.75
9.615,23.0,51.75
9.63,23.0,51.75
9.645,23.0,51.75
9.66,23.0,51.75
9.675,23.0,51.75
9.69,23.0,51.75
9.705,23.0,51.75
9.72,23.0,51.75
9.735,23.0,51.75
9.75,23.0,51.75
9.765,23.0,51.75
9.78,23.0,51.75
9.795,23.0,51.75
9.81,23.0,51.75
9.825,22.75,51.75
9.84,22.75,51.75
9.855,22.75,51.75
9.87,22.75,51.75
9.885,22.75,51.75
9.9,23.0,51.75
9.915,23.0,51.75
9.93,23.0,51.75
9.945,23.0,51.75
9.96,23.0,51.75
9.975,23.0,51.75
9.99,23.0,51.75
10.005,23.0,51.75
10.02,23.0,51.75
10.035,23.0,51.75
10.05,23.0,51.75
10.065,23.0,51.75
10.08,23.0,51.75
10.095,23.0,51.75
10.11,23.0,51.75
10.125,23.0,51.75
10.14,23.0,51.75
10.155,23.0,51.75
10.17,23.0,51.75
10.185,23.0,51.75
10.2,23.0,51.75
10.215,23.0,51.75
10.23,23.0,51.75
10.245,23.0,51.75
10.26,23.0,51.75
10.275,23.0,51.75
10.29,23.0,51.75
10.305,23.0,51.75
10.32,23.0,51.75
10.335,23.0,51.75
10.35,23.0,51.75
10.365,23.0,51.75
10.38,23.0,51.75
10.395,23.0,51.75
10.41,23.0,51.75
10.425,23.0,51.75
10.44,23.0,51.75
10.455,23.0,51.75
10.47,23.0,51.75
10.485,23.0,51.75
10.5,23.0,51.75
10.515,23.0,51.75
10.53,23.0,51.75
10.545,23.0,51.75
10.56,23.0,51.75
10.575,23.0,51.75
10.59,23.0,51.75
10.605,23.0,51.75
10.62,23.0,51.75
10.635,23.0,51.75
10.65,23.0,51.75
10.665,23.0,51.75
10.68,23.0,51.75
10.695,23.0,51.75
10.71,23.0,51.75
10.725,22.75,51.75
10.74,22.75,51.75
10.755,22.75,51.75
10.77,22.75,51.75
10.785,22.75,51.75
10.8,23.0,51.75
10.815,23.0,51.75
10.83,23.0,51.75
10.845,23.0,51.75
10.86,23.0,51.75
10.875,23.0,51.75
10.89,23.0,51.75
10.905,23.0,51.75
10.92,23.0,51.75
10.935,23.0,51.75
10.95,23.0,51.75
10.965,23.0,51.75
10.98,23.0,51.75
10.995,23.0,51.75
11.01,23.0,51.75
11.025,23.0,51.75
