nist_wl_nm,line,nist_intensity,spec_wl_nm,spec_intensity
358.6,C II,57,358.6684,-0.04039573733150093
358.6832,C II,20,358.6684,-0.04039573733150093
359.184,C II,150*,359.15726,-0.04176355621144477
359.184,C II,150*,359.15726,-0.04176355621144477
359.6166,C I,2700*,359.5578,-0.032789720935608446
359.6166,C I,2700*,359.5578,-0.032789720935608446
360.498,C I,2700,360.53888,-0.030864985547030436
375.017530019,D I,,374.9534,-0.04674618038653565
375.017537961,D I,,374.9534,-0.04674618038653565
376.5026,C I,2800,376.49402,-0.04231094133655994
378.949,B II,190,378.95895,-0.06100422897765163
383.4435,C I,7300,383.43933,-0.03054741044832235
387.9127,C II,40,387.9762,-0.03091212695322239
392.0088,C II,330,391.95914,-0.027826887125932905
392.011,N II,360,391.95914,-0.027826887125932905
392.1803,C II,580,392.17896,-0.04774127058615931
393.024,C II,21*,393.03506,-0.041740418694602745
393.024,C II,21*,393.03506,-0.041740418694602745
393.024,C II,21*,393.03506,-0.041740418694602745
394.5309,C II,14,394.58109,-0.03921721273946269
394.612,C II,24,394.58109,-0.03921721273946269
394.6314,C II,19,394.58109,-0.03921721273946269
394.7395,C II,20u,394.72867,-0.02393888661667643
394.74,B II,12*,394.72867,-0.02393888661667643
394.74,B II,12*,394.72867,-0.02393888661667643
394.74,B II,12*,394.72867,-0.02393888661667643
394.7546,C II,7u,394.72867,-0.02393888661667643
394.8196,C II,11,394.77786,-0.03125544783706843
395.3798,C II,9,395.41812,-0.027940942078311774
396.2524,C I,7900,396.25702,-0.02725182282441627
397.004,C II,7h,397.07306,-0.02656145344196712
397.00848,D I,,397.07306,-0.02656145344196712
397.00879,D I,,397.07306,-0.02656145344196712
397.01152,D I,,397.07306,-0.02656145344196712
397.01421,D I,,397.07306,-0.02656145344196712
397.01422,D I,,397.07306,-0.02656145344196712
397.0643,C II,14,397.07306,-0.02656145344196712
397.151,C II,19qs*,397.07306,-0.02656145344196712
397.151,C II,19qs*,397.07306,-0.02656145344196712
397.2698,C II,11,397.34546,-0.030758696194948296
397.356,C II,32h*,397.34546,-0.030758696194948296
397.356,C II,32h*,397.34546,-0.030758696194948296
398.8007,C I,2600*,398.76016,-0.05717726167858351
398.8007,C I,2600*,398.76016,-0.05717726167858351
401.8413,C II,25,401.85614,-0.024169238454771452
410.11,N I,140,410.06558,-0.2448293312564847
410.459,N III,200,410.39862,-0.023902015813577527
412.3096,B II,1500*,412.37708,-0.0315560324687908
412.3096,B II,1500*,412.37708,-0.0315560324687908
412.3096,B II,1500*,412.37708,-0.0315560324687908
412.3096,B II,1500*,412.37708,-0.0315560324687908
412.3096,B II,1500*,412.37708,-0.0315560324687908
412.3096,B II,1500*,412.37708,-0.0315560324687908
414.7433,C I,4000,414.70218,-0.0245056397701433
415.4545,C I,2300,415.40237,-0.035100186045334346
415.75,C II,"120bl(O II,N II)*",415.7919,-0.026813757362706723
415.75,C II,"120bl(O II,N II)*",415.7919,-0.026813757362706723
415.75,C II,"120bl(O II,N II)*",415.7919,-0.026813757362706723
419.5974,B II,180,419.55084,-0.025816639056288133
421.4261,C I,4000,421.49631,-0.026427367514912647
423.81,N II,285,423.74249,-0.02419015892742782
429.692,B II,50,429.69473,-0.03709577872441662
429.7129,C II,38h,429.69473,-0.03709577872441662
430.88,C II,21hql,430.87936,-0.044723681619403446
431.4313,C II,60,431.49994,-0.032052823192243236
434.5332,C I,1900,434.53513,-0.0635283848683755
434.553,C I,2800,434.53513,-0.0635283848683755
434.69,N III,120,434.67111,-0.04634207491839573
436.734,B III,100,436.68924,-0.026118780953592657
436.949,C II,66u*,437.0174,-0.02924311580556627
436.949,C II,66u*,437.0174,-0.02924311580556627
437.5501,C II,190,437.48276,-0.024414799388047675
446.2552,C I,2800*,446.25397,-0.027228653430919444
446.2552,C I,2800*,446.25397,-0.027228653430919444
446.2752,C I,2800*,446.25397,-0.027228653430919444
446.2752,C I,2800*,446.25397,-0.027228653430919444
461.242,B II,25*,461.29388,-0.034965440177440694
461.242,B II,25*,461.29388,-0.034965440177440694
464.438,N II,550,464.39816,-0.06788886022831955
464.843,B IV,320*,464.83505,-0.028440001928968225
464.843,B IV,320*,464.83505,-0.028440001928968225
464.843,B IV,320*,464.83505,-0.028440001928968225
464.843,B IV,320*,464.83505,-0.028440001928968225
464.843,B IV,320*,464.83505,-0.028440001928968225
464.843,B IV,320*,464.83505,-0.028440001928968225
464.872,C III,600,464.83505,-0.028440001928968225
474.3896,C I,4200,474.40332,-0.02794135449998762
481.001,C I,"690w,d",481.02295,-0.05864131790336712
486.018,N III,90,485.96466,-1.3457519185808198
486.034,C I,1100bl(Nd II),485.96466,-1.3457519185808198
486.8429,C II,17,486.87973,-0.029316928169049544
486.851,N III,150,486.87973,-0.029316928169049544
487.544,C I,2400bl(Ti II),487.49069,-0.035658658421786456
496.1304,C II,10,496.15649,-0.02602552254529922
500.288,N II,650,500.31146,-0.029098898188901167
501.779,N II,360,501.78802,-0.025603778032038123
501.849,C I,9300*,501.78802,-0.025603778032038123
501.849,C I,9300*,501.78802,-0.025603778032038123
510.933,C II,"8h,bl",510.93057,-0.02867006446970072
513.437,C II,130w*,513.49927,-0.024834791780935936
513.471,C II,130w*,513.49927,-0.024834791780935936
525.0971,C II,8,525.15088,-0.030976906318489053
525.7553,C II,8,525.67767,-0.024720177963980437
536.916,C II,6h,536.96075,-0.02889204264670089
537.007,C II,6wh*,536.96075,-0.02889204264670089
537.007,C II,6wh*,536.96075,-0.02889204264670089
537.007,C II,6wh*,536.96075,-0.02889204264670089
551.63,C I,"1700d,l",551.57794,-0.0256261789838049
553.358,C I,1800bl?,553.37567,-0.027719716476534952
568.779,N II,450,568.85126,-0.04826449002063645
571.4095,C II,5,571.3457,-0.0480497630832834
581.5122,C I,2300,581.53741,-0.030017497801667656
596.5641,C I,7200,596.6109,-0.02602466998772535
604.413,C I,1400,604.43671,-0.04477041293204319
609.6977,C II,33,609.73303,-0.029461037309817292
610.0198,C II,30,609.99896,-0.029491684740701237
610.0611,C I,1600,609.99896,-0.029491684740701237
708.9781,C I,18000,708.96985,-0.05714825470642271
713.6077,C II,18,713.56927,-0.026503778696018186
714.616,C II,5,714.62439,-0.04212424828802959
722.6232,C I,4500,722.58276,-0.0263831186791714
752.617,C II,6i,752.63708,-0.02453996775823262
757.616,C II,26*,757.63025,-0.060908410468234156
757.616,C II,26*,757.63025,-0.060908410468234156
757.616,C II,26*,757.63025,-0.060908410468234156
761.475,C III,150,761.44116,-0.13919081247590054
766.455,C I,27000,766.53339,-0.07466691091257566
783.741,B III,800,783.80707,-0.040907678770362006
795.3533,C I,4200,795.35284,-0.0319691211248012
804.7546,C I,27000,804.74652,-0.029358594661686877
819.027,N I,400,819.09528,-0.02718705301582653
843.3192,C I,7000,843.25513,-0.02760804816013801
