nist_wl_nm,line,nist_intensity,spec_wl_nm,spec_intensity
358.6,C II,57,358.6684,-0.03891279993352764
358.6832,C II,20,358.6684,-0.03891279993352764
359.184,C II,150*,359.15726,-0.04187847436783213
359.184,C II,150*,359.15726,-0.04187847436783213
359.6166,C I,2700*,359.5578,-0.031227943716755465
359.6166,C I,2700*,359.5578,-0.031227943716755465
360.498,C I,2700,360.53888,-0.028863354954421296
373.0086,C I,4200,373.00238,-0.02180276456120441
375.017530019,D I,,374.9534,-0.044950581440262566
375.017537961,D I,,374.9534,-0.044950581440262566
376.5026,C I,2800,376.49402,-0.03988673411105652
378.949,B II,190,378.95895,-0.05617468435088255
383.4435,C I,7300,383.43933,-0.025268604696825764
387.9127,C II,40,387.9762,-0.025849736637628924
392.0088,C II,330,391.95914,-0.02587990699022641
392.011,N II,360,391.95914,-0.02587990699022641
392.1803,C II,580,392.17896,-0.04569239032290663
393.024,C II,21*,393.03506,-0.03426575745932298
393.024,C II,21*,393.03506,-0.03426575745932298
393.024,C II,21*,393.03506,-0.03426575745932298
394.5309,C II,14,394.58109,-0.03679860606702987
394.612,C II,24,394.58109,-0.03679860606702987
394.6314,C II,19,394.58109,-0.03679860606702987
394.7395,C II,20u,394.77786,-0.028539582384540147
394.74,B II,12*,394.77786,-0.028539582384540147
394.74,B II,12*,394.77786,-0.028539582384540147
394.74,B II,12*,394.77786,-0.028539582384540147
394.7546,C II,7u,394.77786,-0.028539582384540147
394.8196,C II,11,394.77786,-0.028539582384540147
395.3798,C II,9,395.41812,-0.025259306441333073
396.2524,C I,7900,396.25702,-0.024430723257967045
397.004,C II,7h,397.07306,-0.02391103759857861
397.00848,D I,,397.07306,-0.02391103759857861
397.00879,D I,,397.07306,-0.02391103759857861
397.01152,D I,,397.07306,-0.02391103759857861
397.01421,D I,,397.07306,-0.02391103759857861
397.01422,D I,,397.07306,-0.02391103759857861
397.0643,C II,14,397.07306,-0.02391103759857861
397.151,C II,19qs*,397.07306,-0.02391103759857861
397.151,C II,19qs*,397.07306,-0.02391103759857861
397.2698,C II,11,397.34546,-0.027251744978480975
397.356,C II,32h*,397.34546,-0.027251744978480975
397.356,C II,32h*,397.34546,-0.027251744978480975
398.8007,C I,2600*,398.76016,-0.05291093740613075
398.8007,C I,2600*,398.76016,-0.05291093740613075
410.11,N I,140,410.06558,-0.14194738623592118
410.17435,D I,,410.16803,-0.0527713222422955
410.17469,D I,,410.16803,-0.0527713222422955
410.17759,D I,,410.16803,-0.0527713222422955
410.18043,D I,,410.16803,-0.0527713222422955
410.18044,D I,,410.16803,-0.0527713222422955
412.3096,B II,1500*,412.37708,-0.026562534685946868
412.3096,B II,1500*,412.37708,-0.026562534685946868
412.3096,B II,1500*,412.37708,-0.026562534685946868
412.3096,B II,1500*,412.37708,-0.026562534685946868
412.3096,B II,1500*,412.37708,-0.026562534685946868
412.3096,B II,1500*,412.37708,-0.026562534685946868
414.7433,C I,4000,414.70218,-0.022125327611141367
415.4545,C I,2300,415.40237,-0.033899219791055396
415.75,C II,"120bl(O II,N II)*",415.7919,-0.025051872268700412
415.75,C II,"120bl(O II,N II)*",415.7919,-0.025051872268700412
415.75,C II,"120bl(O II,N II)*",415.7919,-0.025051872268700412
419.5974,B II,180,419.55084,-0.023619764700001704
429.692,B II,50,429.69473,-0.028772510638933452
429.7129,C II,38h,429.69473,-0.028772510638933452
430.754,C II,16hql,430.69067,-0.029499619162558346
430.88,C II,21hql,430.85239,-0.035592189500540536
431.4313,C II,60,431.49994,-0.022035533095903826
434.5332,C I,1900,434.53513,-0.06066260125631801
434.553,C I,2800,434.53513,-0.06066260125631801
434.69,N III,120,434.67111,-0.04328891540692898
436.949,C II,66u*,437.0174,-0.02487769396344913
436.949,C II,66u*,437.0174,-0.02487769396344913
446.2552,C I,2800*,446.25397,-0.0224205509446782
446.2552,C I,2800*,446.25397,-0.0224205509446782
