Wavelength (nm),Brightness (photons/cm^2/s/nm),Brightness error (photons/cm^2/s/nm)
350.01016,723670243414.0186,434893313469.28
350.03165,446844877272.39233,282008739711.3779
350.0531,609748780257.9224,403261007554.7315
350.07458,2001942033016.5703,1384743633001.8042
350.09607,1044292012748.8271,754090002809.898
350.11755,576769140067.75,434032670249.15857
350.13904,186052314303.90823,145715133010.02777
350.16052,118977228349.6204,96874429867.62843
350.18201,100505760074.40663,85025931351.14076
350.20349,57459977612.17683,50496002071.13343
350.22498,99506268702.58455,90863906019.5692
350.24646,121414290292.78262,115294517875.43097
350.26794,239257723934.7677,236519817267.0968
350.28946,172947418894.06744,178216787256.30594
350.31094,157430348537.4849,169304071040.42557
350.33243,542813749915.77136,609797662081.0657
350.35394,1104925301533.4211,1297354536730.1982
350.37543,673820902856.3918,826860416137.9802
350.39694,0.0,0.0
350.41843,0.0,0.0
350.43994,220392414592.08813,306509049797.7739
350.46143,6509315757.47581,9397738720.392578
350.48294,79584759885.61441,118945568046.88635
350.50446,95724340334.14056,147665625038.87964
350.52594,166038056235.7832,263541410974.85712
350.54745,0.0,0.0
350.56897,62117344854.343285,104160534664.06927
350.59048,663706648207.9087,1204923116789.5488
350.612,862082903346.9854,1582164760374.5906
350.63351,266772842672.97125,519966865612.9513
350.65503,93644997715.39394,192758165670.8509
350.67654,56195674589.53383,116815534739.85362
350.69806,165095990632.38464,346273519712.42096
350.71957,120240825231.50871,256282613661.44604
350.74109,109856850067.2074,238694946649.8428
350.7626,133713331610.23389,294595192727.6617
350.78412,139649004608.7062,297867865473.0671
350.80566,194858618099.0905,396781847721.0408
350.82718,132295921297.11328,264135622558.4931
350.84869,329390083429.38574,664051398433.317
350.87024,504231757786.1636,1039369009562.2163
350.89175,269582534124.73694,550555740584.3757
350.9133,207630507017.58197,402708825721.8426
350.93481,502481583406.60455,907122225106.9991
350.95636,1648305355264.1506,2871804976595.8354
350.97791,1412684020067.0664,2459442585254.9644
350.99942,358763291317.3278,636854275891.3805
351.02097,180659341533.43982,331551618151.6333
351.04251,392186371003.34436,715109879835.4366
351.06406,835884603762.6028,1451422791771.0935
351.08557,2795951193160.98,4848670305277.301
351.10712,1280145995467.2095,2176959914375.3098
351.12866,408481415558.68,619393923367.9092
351.15021,238735611685.46237,298685102797.6949
351.17175,210006140750.72382,225473360893.4867
351.1933,376064830027.17303,367676175041.37213
351.21487,496922302002.1181,441788241754.49066
351.23642,574476549169.1318,448184316367.0472
351.25797,514257327305.3248,362492434950.3563
351.27951,342155841437.038,235097595324.27176
351.30109,246375883830.16974,160934257604.13065
351.32263,201085275498.71393,112413298440.93135
351.34418,128677543454.71397,49134763768.032715
351.36575,178025098988.01163,34441589097.82321
351.3873,174322295980.08286,29199222051.479908
351.40887,139189621079.14642,41786763829.16345
